trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20220104,4650,4650,0,4174,4174,4058,4534,406,405,454,0.19684746802849384,-0.015051996347223009,-0.00065324042813369107,0.010341222182084935,
20220105,4650,4650,0,4174,4174,4109,4585,411,410,459,0.0048192289614234418,0.012529632065832654,0.0036961752332882545,0.0082259475222918859,0.015217391304347849
20220106,4650,4650,0,4176,4176,4080,4554,408,408,456,0.19035960944661803,-0.014737465535721765,0.0012543023389559611,0.018065994150102072,0.010869565217391353
20220107,4650,4650,0,4177,4177,4128,4601,413,412,461,0.11524667979887424,0.010509694310515062,0.0021582851367459091,0.0074934043614264889,0.023706896551724088
20220110,4650,4650,0,4178,4178,4095,4567,410,409,457,0.10465712221961761,-0.0023851697546105931,0.0017900602684236336,0.010671722790436593,0.017278617710583144
20220111,4650,4650,0,4181,4181,4113,4582,412,411,459,0.050996737188412952,0.018811530293471976,0.005665840260745578,0.01023527410612036,0.017316017316017285
20220112,4650,4650,0,4179,4179,4077,4548,408,407,455,0.0877393849145955,-0.012452746838718999,-0.0031529412266973183,0.0022471384732446857,0.0087145969498910736
20220113,4650,4650,0,4180,4180,4116,4586,412,411,459,0.085079771011913996,0.0049150004057531699,0.011362978684219203,0.0033793135102842412,0.021645021645021689
20220114,4650,4650,0,4178,4178,4102,4573,411,410,458,0.033735588847494315,0.013444136805268849,-0.0011851433913940747,0.00058250638800565885,0.010845986984815648
20220117,4650,4650,0,4182,4182,4066,4534,407,406,454,0.06322462748248886,-0.0083381621788983611,0.0045481157433926167,0.01604305174034704,0.021691973969631184
20220118,4650,4650,0,4184,4184,4124,4590,413,412,459,0.12574463023342303,0.0053493765412347535,0.004041347795138454,0.010760932136638653,0.019522776572668099
20220119,4650,4650,0,4182,4182,4116,4584,412,411,459,0.10664168882536669,-0.020186638488305816,0.0039578962745363509,0.01325054628496446,0.0043478260869564966
20220120,4650,4650,0,4185,4185,4136,4601,414,413,461,0.083920587246267733,-0.014060665997181296,-0.0031084178535193095,0.010462361201696427,0.01295896328293733
20220121,4650,4650,0,4184,4184,4126,4592,413,412,460,0.067659359380315837,0.0036324033024809697,0.0067401135216696075,0.014009593142524496,0.032051282051282048
20220124,4650,4650,0,4186,4186,4122,4586,413,412,459,0.01518596225671791,-0.043321814630530427,-0.0018730021009112294,0.0032505151094668061,0.044680851063829796
20220125,4650,4650,0,4187,4187,4152,4615,416,415,462,0.047732019562072368,0.0057659571105121007,-0.0011420175974011116,0.0085963648279618731,0.10882956878850103
20220126,4650,4650,0,4188,4188,4127,4589,413,412,459,0.016278742722005825,-0.034550376827437765,-0.002043367221292447,0.0072207717742148528,0.10493827160493829
20220127,4650,4650,0,4192,4192,4174,4632,418,417,464,0.23696567347784872,0.023554397273524499,0.010563363322480332,0.022324008980064605,0.077083333333333282
20220128,4650,4650,0,4194,4194,4127,4583,413,412,459,-0.018593797305473388,0.01280078862260625,-0.0025693702491332415,-0.0011449815045539435,0.10082304526748975
