region,feature,family,F1,F2,F3,mean_residual_ic,median_residual_ic,same_direction_3of3,at_least_2_folds_abs_ic_ge_0_01,stable_meaningful,abs_mean_residual_ic,mean_d0_prediction_ic
full,kmid,kbar,0.150498758,0.188181185,0.159540567,0.166073503,0.159540567,True,True,True,0.166073503,-0.251579140
full,kmid2,kbar,0.128325683,0.181415706,0.134861703,0.148201031,0.134861703,True,True,True,0.148201031,-0.221910077
full,gap_high,kbar,0.119208136,0.161256204,0.107626680,0.129363673,0.119208136,True,True,True,0.129363673,-0.207185521
full,klow2,kbar,0.079644404,0.100946191,0.105920983,0.095503859,0.100946191,True,True,True,0.095503859,-0.136003885
full,kup,kbar,0.087603898,0.074860621,0.087868816,0.083444445,0.087603898,True,True,True,0.083444445,-0.168413763
full,gap_low,kbar,-0.079072090,-0.079841529,-0.072717855,-0.077210491,-0.079072090,True,True,True,0.077210491,0.141896260
full,gap_open,kbar,-0.064813577,-0.060386989,-0.081641365,-0.068947310,-0.064813577,True,True,True,0.068947310,0.119650308
full,kup2,kbar,-0.021745958,-0.058631379,-0.010371403,-0.030249580,-0.021745958,True,True,True,0.030249580,0.023169410
full,days_since_limit_up,limit,-0.128386071,-0.097936013,-0.101565821,-0.109295968,-0.101565821,True,True,True,0.109295968,0.180432503
full,limit_up_count_60,limit,0.127152945,0.097899920,0.098853669,0.107968845,0.098853669,True,True,True,0.107968845,-0.177254475
full,limit_up_count_20,limit,0.116135320,0.080268779,0.101310266,0.099238122,0.101310266,True,True,True,0.099238122,-0.170254023
full,limit_down_count_60,limit,0.070000946,0.053686357,0.028227347,0.050638217,0.053686357,True,True,True,0.050638217,-0.085349869
full,days_since_limit_down,limit,-0.069159001,-0.053897252,-0.028121923,-0.050392725,-0.053897252,True,True,True,0.050392725,0.086235009
full,flag_limit_up,limit,-0.053966433,-0.039927115,-0.046069248,-0.046654265,-0.046069248,True,True,True,0.046654265,0.112674721
full,limit_up_count_5,limit,0.053819184,0.022593524,0.057625052,0.044679253,0.053819184,True,True,True,0.044679253,-0.080420633
full,limit_down_count_20,limit,0.052513539,0.042194351,0.038527773,0.044411888,0.042194351,True,True,True,0.044411888,-0.080450845
full,flag_limit_down,limit,0.040881167,0.029771233,0.043034892,0.037895764,0.040881167,True,True,True,0.037895764,-0.099849286
full,limit_down_count_5,limit,0.040983222,0.033621357,0.035352176,0.036652252,0.035352176,True,True,True,0.036652252,-0.080592382
full,illiq_1,liquidity,-0.116868975,-0.052488219,-0.169589354,-0.112982183,-0.116868975,True,True,True,0.112982183,0.193519010
full,illiq_5,liquidity,-0.097230619,-0.038014565,-0.146998177,-0.094081120,-0.097230619,True,True,True,0.094081120,0.163623877
full,illiq_20,liquidity,-0.069581701,-0.024093607,-0.116512606,-0.070062638,-0.069581701,True,True,True,0.070062638,0.121229774
full,illiq_60,liquidity,-0.042564531,-0.011374083,-0.095972994,-0.049970536,-0.042564531,True,True,True,0.049970536,0.085349019
full,market_amount_ratio_20,market,,,,,,False,False,False,,
full,market_breadth_up,market,,,,,,False,False,False,,
full,market_dispersion_ret_1,market,,,,,,False,False,False,,
full,market_dispersion_ret_5,market,,,,,,False,False,False,,
full,market_limit_down_ratio,market,,,,,,False,False,False,,
full,market_limit_up_ratio,market,,,,,,False,False,False,,
full,market_mean_ret_1,market,,,,,,False,False,False,,
full,market_median_ret_1,market,,,,,,False,False,False,,
full,market_median_ret_20,market,,,,,,False,False,False,,
full,market_median_ret_5,market,,,,,,False,False,False,,
full,relstd_20,relative,0.175215802,0.220021793,0.160624805,0.185287467,0.175215802,True,True,True,0.185287467,-0.306434510
full,relret_1,relative,0.127382126,0.167838614,0.125988608,0.140403116,0.127382126,True,True,True,0.140403116,-0.203887779
full,relret_5,relative,0.160967288,0.084062319,0.154886785,0.133305464,0.154886785,True,True,True,0.133305464,-0.209953053
full,relamtratio_20,relative,0.143189011,0.100676736,0.154009453,0.132625067,0.143189011,True,True,True,0.132625067,-0.227664376
full,relvolratio_20,relative,0.139249219,0.107318760,0.146163731,0.130910570,0.139249219,True,True,True,0.130910570,-0.224546073
full,relret_20,relative,0.138605522,0.022174320,0.155541355,0.105440399,0.138605522,True,True,True,0.105440399,-0.184195603
full,relret_60,relative,0.116401098,0.018414646,0.126606393,0.087140712,0.116401098,True,True,True,0.087140712,-0.152975809
full,relilliq_20,relative,-0.069581701,-0.024093607,-0.116512606,-0.070062638,-0.069581701,True,True,True,0.070062638,0.121229774
full,ret_1,return,0.127382126,0.167838614,0.125988608,0.140403116,0.127382126,True,True,True,0.140403116,-0.203887779
full,ret_2,return,0.127665980,0.133227332,0.142673026,0.134522113,0.133227332,True,True,True,0.134522113,-0.203538433
full,ret_5,return,0.160967288,0.084062319,0.154886785,0.133305464,0.154886785,True,True,True,0.133305464,-0.209953053
full,ret_3,return,0.134471959,0.092094271,0.140921329,0.122495853,0.134471959,True,True,True,0.122495853,-0.191068210
full,ret_20,return,0.138605522,0.022174320,0.155541355,0.105440399,0.138605522,True,True,True,0.105440399,-0.184195603
full,ret_30,return,0.128785048,0.021880602,0.144345384,0.098337011,0.128785048,True,True,True,0.098337011,-0.176794692
full,ret_10,return,0.135172466,0.023616476,0.132279290,0.097022744,0.132279290,True,True,True,0.097022744,-0.170608544
