experiment,fold,variant,alpha,exit_fraction,ic_mean,annual_excess,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,top_rows,turnover_gap
E005,F1,grid,0.5,0.14999999999999991,0.090364249860280202,0.40486362998307263,0.36172192956161642,0.34908821007054891,0.63066127957140083,0.55105250314078835,110641,0.26893935000978431
E005,F2,grid,0.5,0.14999999999999991,0.067458585460652004,0.24113010950658431,0.34132811002775842,0.29692403402790862,0.63836807441579535,0.5166301694428489,111424,0.29703996438803693
E005,F1,grid,0.5,0.17499999999999991,0.0903374094822985,0.403107265910229,0.33730744052206763,0.35587491140936772,0.62461435623595041,0.54262886271816035,110641,0.2873069157138825
E005,F2,grid,0.5,0.17499999999999991,0.0674576524763775,0.24050268682415241,0.31228208954295011,0.30544924017491171,0.62308627280090123,0.51871230614589314,111424,0.31080418325795112
E005,F1,grid,0.5,0.20000000000000001,0.090296692669352502,0.40458944855074502,0.32213937837760093,0.36085369811968421,0.61148502566518081,0.53048146708724575,110641,0.28934564728757972
E005,F2,grid,0.5,0.20000000000000001,0.067417923020786502,0.2385249605219594,0.28489468018383401,0.31305625330975212,0.60688673789422232,0.52178166283744964,111424,0.32199205771038802
E005,F1,grid,0.5,0.22500000000000001,0.0902708115958821,0.39801762749075581,0.30542192835363602,0.36388703437948883,0.59706177183411335,0.52292549778111175,110641,0.29163984348047722
E005,F2,grid,0.5,0.22500000000000001,0.0673851232721277,0.2339838211777665,0.26436527830146522,0.31783961217174123,0.59289788977351143,0.52286760482481331,111424,0.32853261147204582
E005,F1,grid,0.5,0.25,0.090167676377316805,0.39439022263022461,0.28904524394794712,0.36767056415560972,0.58442455986238073,0.51750255330302475,110641,0.2953793159144335
E005,F2,grid,0.5,0.25,0.067357610170641305,0.2322354717995756,0.2485959935369732,0.32203488754703702,0.58076535404607865,0.52214065192418135,111424,0.33216936050910523
E005,F1,grid,0.40000000000000002,0.14999999999999991,0.085313271348654199,0.38458989911912211,0.30452683280946041,0.35814422843236021,0.57257145594848435,0.56756536907656285,110641,0.268044623139024
E005,F2,grid,0.40000000000000002,0.14999999999999991,0.0637767384894634,0.22307723022022791,0.28759929886264662,0.30615407480305962,0.58090257628213271,0.52936530729465825,111424,0.29330327741948592
E005,F1,grid,0.40000000000000002,0.17499999999999991,0.085277201665781302,0.38537885770656483,0.27281553707612821,0.36787987685544332,0.56639956566927252,0.56789074574524812,110641,0.29358402859314431
E005,F2,grid,0.40000000000000002,0.17499999999999991,0.063763212532236102,0.2237522059166972,0.2595912770551061,0.31475356367137181,0.56538026166935385,0.52944607983917291,111424,0.30578898461424753
E005,F1,grid,0.40000000000000002,0.20000000000000001,0.085217992420386801,0.37821718714485503,0.243816030681486,0.37440754390716552,0.55365758193966375,0.57157834799034712,110641,0.30984155125817781
E005,F2,grid,0.40000000000000002,0.20000000000000001,0.063719514336371602,0.21612092083444071,0.23724880052518421,0.31914944182732552,0.54898270415138306,0.52962557438253866,111424,0.31173390362619913
E005,F1,grid,0.40000000000000002,0.22500000000000001,0.085158275512803902,0.37513773262411171,0.219673643601899,0.38070253691178513,0.54145125990115672,0.57762493108341395,110641,0.32177761629925772
E005,F2,grid,0.40000000000000002,0.22500000000000001,0.063694096569654302,0.22066000265038641,0.21598665581280191,0.32687964267913711,0.53623018054191574,0.53308084434233194,111424,0.3202435247291136
E005,F1,grid,0.40000000000000002,0.25,0.0851439978234136,0.37792203500084393,0.2042388239887237,0.38616256243300151,0.530176228758372,0.57540152384739796,110641,0.32593740476964822
E005,F2,grid,0.40000000000000002,0.25,0.063684970357306303,0.2228463197799177,0.1961419573225234,0.33348529688014072,0.52543862716884993,0.53970419299253303,111424,0.3292966698463265
E005,F1,grid,0.29999999999999982,0.14999999999999991,0.078524323497789705,0.36431840887224781,0.22073663358500431,0.37448426198528872,0.50280170371759625,0.60603212190779165,110641,0.28206507013259202
E005,F2,grid,0.29999999999999982,0.14999999999999991,0.059098779008113,0.20306714018610911,0.22161526407081761,0.31807507443783262,0.51191480058752692,0.54528647329121194,111424,0.29029953651670892
E005,F1,grid,0.29999999999999982,0.17499999999999991,0.078505735697187301,0.36385168009619512,0.1948812037116476,0.38209343719423922,0.49698250229779323,0.60800245840149636,110641,0.30210129858614537
E005,F2,grid,0.29999999999999982,0.17499999999999991,0.0590744102754115,0.19919156104944111,0.19382873450974861,0.32523861207207222,0.495471802830453,0.54669550545663415,111424,0.30164306832070431
E005,F1,grid,0.29999999999999982,0.20000000000000001,0.078474601598079299,0.35827507308221213,0.17600643875202651,0.38607043093828752,0.48623745758349851,0.60699921367305065,110641,0.31023101883147192
E005,F2,grid,0.29999999999999982,0.20000000000000001,0.0590395785870148,0.1949042097832839,0.1714078734016331,0.3306647323493011,0.48034876959271922,0.54950459506031013,111424,0.30894089619108611
E005,F1,grid,0.29999999999999982,0.22500000000000001,0.078477798022643,0.36144357967885932,0.1590656419049303,0.39210450054123591,0.47561147739377102,0.60991856545042045,110641,0.3165458354888408
E005,F2,grid,0.29999999999999982,0.22500000000000001,0.0590071551630088,0.1917072702054127,0.15148288710610411,0.33567017699499602,0.46828113370803442,0.55357912119471564,111424,0.31679824660193012
E005,F1,grid,0.29999999999999982,0.25,0.078450569874492102,0.35897324713433693,0.14567191957587031,0.39537062621733682,0.46592525620990433,0.6115996782386276,110641,0.32025333663403383
E005,F2,grid,0.29999999999999982,0.25,0.058937820803345302,0.18568136310893821,0.13883212623438981,0.33762989938370253,0.45853723807218583,0.55380348937392265,111424,0.31970511183779582
E006,F1,grid,0.5,0.14999999999999991,0.1140607961370018,0.41772516870268622,0.47876642382753892,0.32731194191734492,0.55148490933482841,0.00026210898310750002,110641,0.072718485507289099
E006,F2,grid,0.5,0.14999999999999991,0.097126823935876502,0.2344348965134822,0.51145403152238511,0.2557449890716797,0.55975510022546815,0.0001615450890292,111424,0.048301068703083101
E006,F1,grid,0.5,0.17499999999999991,0.11401856211112581,0.41025006163333722,0.43773119968167912,0.3373630834299477,0.51178458029775931,0.00028922370549780001,110641,0.0740533806160798
E006,F2,grid,0.5,0.17499999999999991,0.097081493874820401,0.22255278537406931,0.46868360612880311,0.2649933513235081,0.51803883533041462,0.0001705198161974,111424,0.049355229201611402
E006,F1,grid,0.5,0.20000000000000001,0.113925730084495,0.40620457479886851,0.40204695570321453,0.34681757776249411,0.47788898104961791,0.0003073001870915,110641,0.075842025346403205
E006,F2,grid,0.5,0.20000000000000001,0.096970596950094301,0.21188615799218391,0.43017459944164282,0.27330170634520012,0.48105477835363192,0.0001615450890292,111424,0.050880178911989003
E006,F1,grid,0.5,0.22500000000000001,0.11377777996869511,0.39288754824426542,0.37048507371161632,0.35223185434727272,0.44712900531234151,0.0003073001870915,110641,0.076643931600724802
E006,F2,grid,0.5,0.22500000000000001,0.0968323137407162,0.2006453284093434,0.39775252869921862,0.27960076540932383,0.4500585240796775,0.0001435956346927,111424,0.0523059953804587
E006,F1,grid,0.5,0.25,0.1136210350023216,0.38760175354034943,0.34341066386332042,0.35870574090403712,0.42096670646422713,0.00029826194629470001,110641,0.0775560426009064
E006,F2,grid,0.5,0.25,0.096711662454099401,0.1953040926575538,0.36690889016158412,0.28720322573043061,0.42003377122181013,0.000125646180356,111424,0.053124881060226101
E006,F1,grid,0.40000000000000002,0.14999999999999991,0.1092960303350291,0.39797546143355372,0.41132793289451952,0.33971267069572192,0.48378833330783511,0.0003073001870915,110641,0.072460400413315501
E006,F2,grid,0.40000000000000002,0.14999999999999991,0.0933970588310577,0.2135826409212627,0.4372840812007352,0.27024839144858132,0.48620299788549842,0.000125646180356,111424,0.048918916684763301
E006,F1,grid,0.40000000000000002,0.17499999999999991,0.109224633036868,0.39452338489541933,0.36998216774194642,0.35105221836078893,0.44296270310020031,0.00029826194629470001,110641,0.072980535358253704
E006,F2,grid,0.40000000000000002,0.17499999999999991,0.093277143388940401,0.19932130201591131,0.39334055231132492,0.27910508226695202,0.44305357813051971,0.00013462090752440001,111424,0.049713025819194401
E006,F1,grid,0.40000000000000002,0.20000000000000001,0.109087630737777,0.3859900859967425,0.33609175372782152,0.35860455197578711,0.41006963187244971,0.00029826194629470001,110641,0.073977878144628001
E006,F2,grid,0.40000000000000002,0.20000000000000001,0.093176692495004806,0.19326538657192341,0.35870010583048523,0.2876402612204334,0.40898435457706062,0.00015257036186090001,111424,0.050284248746575201
E006,F1,grid,0.40000000000000002,0.22500000000000001,0.1089355399112979,0.37315245124814272,0.3061235533764618,0.3636828853260235,0.38044310205553622,0.00029826194629470001,110641,0.074319548679074199
E006,F2,grid,0.40000000000000002,0.22500000000000001,0.0930170606831629,0.18812790218962941,0.32575660774174392,0.29591821260763063,0.37734416221299882,0.0001705198161974,111424,0.0515875544712548
