trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20230103,4650,4280,370,4282,4280,4171,4171,418,417,418,0.0058411551157391758,0.0035003717115652372,-0.0011476213309374451,-0.0016203188967613539,
20230104,4650,4282,368,4284,4282,4220,4220,422,422,422,-0.22784291665781109,0.0025043898113604945,-0.0030532620859459476,-0.010390430243830007,0.93805309734513276
20230105,4650,4284,366,4283,4283,4233,4234,424,423,424,0.29896229093948751,0.0059134764964743685,0.0083532606802552492,0.023445277252096212,0.93181818181818188
20230106,4650,4283,367,4280,4280,4245,4248,425,424,425,0.021908189382342382,0.0073378771128515194,0.001503164235631245,5.1358235797244189e-05,0.86648865153538046
20230109,4650,4280,370,4280,4280,4238,4238,424,423,424,0.037882252711248995,0.001140199270645094,0.0032790832995981027,0.004072789550443337,0.90025906735751293
20230110,4650,4280,370,4284,4280,4242,4242,425,424,425,-0.097300374894364147,-0.0094972213727737217,-0.001437915002581688,-0.0012679311849612667,0.89453125
20230111,4650,4284,366,4281,4281,4251,4254,426,425,426,-0.1164952425634113,-0.0036299306027719738,-0.0036328118255678568,-0.0024226282622730306,0.91730279898218825
20230112,4650,4281,369,4281,4281,4242,4242,425,424,425,-0.1902864177857605,-0.0035090216931762579,-0.0076160715360430817,-0.0074915828476533729,0.92686002522068101
20230113,4650,4281,369,4281,4280,4246,4247,425,424,425,-0.048407775801853292,0.0056032687338968216,-0.0041202417855020993,-0.00068930827077972462,0.94278606965174128
20230116,4650,4281,369,4281,4279,4235,4237,424,423,424,0.021574485813963783,-0.0024288684555496395,2.2337579871621084e-06,0.0013006455251703434,0.91847133757961785
20230117,4650,4281,369,4280,4280,4244,4245,425,424,425,-0.096089033514458522,-0.0026053163958043748,-0.0067662714106416569,-0.0051978414742675921,0.9073359073359073
20230118,4650,4280,370,4278,4277,4240,4243,424,424,425,0.15525618810279443,0.0087444340265355053,0.0035991469337366263,0.012883795354031903,0.94540942928039706
20230119,4650,4278,372,4279,4278,4247,4247,425,424,425,-0.17967131404027395,0.0021257437479137282,-0.0069780999316991152,-0.0084244524063047839,0.8741721854304636
20230120,4650,4279,371,4278,4277,4249,4251,425,424,426,0.019914075806364583,0.012730715460168471,-0.001041060350713675,-6.0783746687328305e-05,0.94678217821782173
20230130,4650,4278,372,4276,4276,4186,4188,419,418,419,0.067342488245737728,0.0036020445632967157,-0.00036249662695443273,0.005420461910611258,0.93710691823899372
20230131,4650,4276,374,4275,4275,4229,4230,423,422,423,-0.12884020687888789,0.013437804563133482,-0.0020330229356532153,-0.005920233639683737,0.91354838709677422
20230201,4650,4275,375,4276,4274,4202,4203,421,420,421,-0.04272496558505854,0.00014103297723153352,-0.0015986446640813537,-0.00059064170561830514,0.94367959949937419
20230202,4650,4276,374,4276,4273,4226,4229,423,422,423,-0.11469309582873299,-0.0018722888055390276,-0.00081157211143214844,-0.0061231794447489905,0.94499999999999995
20230203,4650,4276,374,4276,4276,4239,4239,424,423,424,0.12775377509926497,0.0037725482213685816,0.005617989671912035,0.012364865767055927,0.90709677419354839
