trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20240102,4650,4650,0,4523,4523,4462,4589,447,446,459,-0.0035525353425394151,-0.0031292466453433187,0.00021817429659294792,0.0021762211595783977,
20240103,4650,4650,0,4523,4523,4477,4604,448,447,461,0.070074403868454815,-0.00024810239670190152,0.0025903303598069556,0.0051829835080623651,0.88888888888888884
20240104,4650,4650,0,4523,4523,4481,4608,449,448,461,0.13002212580191888,-0.01607123454698688,2.6015681561991633e-05,0.0078156461220431662,0.901072705601907
20240105,4650,4650,0,4524,4524,4499,4625,450,449,463,-0.1146550775668897,-0.020562453633810124,-0.0019563731106085093,-0.0031066111466432934,0.87591240875912413
20240108,4650,4650,0,4523,4523,4488,4615,449,448,462,0.036724601542544318,0.0060714521387768014,0.00014967198186469684,0.0043333856260064979,0.82315521628498733
20240109,4650,4650,0,4523,4523,4475,4602,448,447,461,0.06550257353122993,-0.0074300697924448841,0.0015538123814121266,0.0071480840878087601,0.86609336609336607
20240110,4650,4650,0,4524,4524,4483,4609,449,448,461,0.12604474479637939,0.021756760439964364,0.005566154953082509,0.0066557717520872549,0.89049338146811075
20240111,4650,4650,0,4523,4523,4470,4596,447,447,460,0.00096152299437598577,-0.0090031480602844882,-0.0021157622282948017,0.0049954501358536896,0.89169675090252709
20240112,4650,4650,0,4522,4522,4497,4624,450,449,463,-0.065467097947570871,-0.0027848997049094307,-0.0012243495095143845,-0.0018749883283505889,0.8674846625766871
20240115,4650,4650,0,4524,4524,4480,4606,448,448,461,-0.027900786333014831,-0.007385996478762427,-0.0028731629861826419,-0.0026923375011885138,0.79843953185955785
20240116,4650,4650,0,4526,4526,4491,4615,450,449,462,0.0932935453831895,-0.021749005271261265,0.0025522744401104622,0.002548505658723995,0.88526570048309183
20240117,4650,4650,0,4526,4526,4488,4612,449,448,462,0.072924646787829492,-0.0015313709576739534,0.0062298705472761864,0.0047173127304956305,0.89341317365269457
20240118,4650,4650,0,4527,4527,4490,4613,449,449,462,0.017678946143676315,-0.012741439459036235,-0.00027334121998333349,0.0059787289868843182,0.910377358490566
20240119,4650,4650,0,4527,4527,4483,4606,449,448,461,-0.16383615809142199,-0.059771757002830946,-0.0024794855680886352,-0.010881640743147569,0.890625
20240122,4650,4650,0,4528,4528,4505,4627,451,450,463,0.062047223186326883,0.0073633024320289677,0.0048597669566851432,0.013154007092968,0.82889733840304181
20240123,4650,4650,0,4527,4527,4478,4600,448,447,460,-0.023154047337278223,0.013229792299153862,-0.0035849979534708018,-0.0015311218814813617,0.85056039850560405
20240124,4650,4650,0,4529,4529,4449,4570,445,444,457,0.094560906168803208,0.036401677275765383,0.0010472004023750273,0.010689462189724303,0.91607565011820336
20240125,4650,4650,0,4529,4529,4423,4544,443,442,455,0.30783550231772816,0.0071253595794589187,0.0088834125749582844,0.021046374568193468,0.84848484848484851
20240126,4650,4650,0,4530,4530,4465,4585,447,446,459,-0.18589097550468056,-0.040940304198182592,-0.011036870157264039,-0.0085586728228635653,0.87438423645320196
20240129,4650,4650,0,4530,4530,4502,4622,451,450,463,-0.19870354157355372,-0.040903965062282534,-0.0090034940956190135,-0.0054192103352103532,0.76737967914438499
