trade_date,group_size
20191118,3589
20191119,3589
20191120,3589
20191121,3590
20191122,3591
20191125,3593
20191126,3594
20191127,3594
20191128,3595
20191129,3596
20191202,3597
20191203,3598
20191204,3599
20191205,3599
20191206,3600
20191209,3600
20191210,3601
20191211,3601
20191212,3601
20191213,3601
20191216,3601
20191217,3603
20191218,3603
20191219,3604
20191220,3605
20191223,3605
20191224,3606
20191225,3606
20191226,3606
20191227,3607
20191230,3608
20191231,3609
20200102,3609
20200103,3609
20200106,3610
20200107,3610
20200108,3610
20200109,3611
20200110,3611
20200113,3612
20200114,3613
20200115,3614
20200116,3615
20200117,3615
20200120,3615
20200121,3615
20200122,3615
20200123,3616
20200203,3616
20200204,3617
20200205,3618
20200206,3619
20200207,3620
20200210,3622
20200211,3622
20200212,3623
20200213,3624
20200214,3624
20200217,3624
20200218,3625
20200219,3625
20200220,3625
20200221,3625
20200224,3626
20200225,3626
20200226,3627
20200227,3627
20200228,3627
20200302,3628
20200303,3628
20200304,3628
20200305,3628
20200306,3629
20200309,3629
20200310,3630
20200311,3630
20200312,3632
20200313,3633
20200316,3633
20200317,3634
20200318,3634
20200319,3635
20200320,3635
20200323,3636
20200324,3636
20200325,3636
20200326,3636
20200327,3637
20200330,3637
20200331,3637
20200401,3637
20200402,3637
20200403,3638
20200407,3639
20200408,3640
20200409,3640
20200410,3641
20200413,3641
20200414,3641
20200415,3643
20200416,3643
20200417,3645
20200420,3645
20200421,3647
20200422,3649
20200423,3649
20200424,3650
20200427,3650
20200428,3652
20200429,3654
20200430,3655
20200506,3656
20200507,3658
20200508,3658
20200511,3658
20200512,3659
20200513,3659
20200514,3659
20200515,3659
20200518,3660
20200519,3661
20200520,3662
20200521,3662
20200522,3663
20200525,3665
20200526,3666
20200527,3666
20200528,3668
20200529,3668
20200601,3669
20200602,3670
20200603,3671
20200604,3671
20200605,3673
20200608,3675
20200609,3675
20200610,3676
20200611,3676
20200612,3676
20200615,3676
20200616,3677
20200617,3677
20200618,3679
20200619,3680
20200622,3680
20200623,3680
20200624,3680
20200629,3682
20200630,3683
20200701,3684
20200702,3685
20200703,3676
20200706,3673
20200707,3672
20200708,3675
20200709,3674
20200710,3673
20200713,3678
20200714,3678
20200715,3676
20200716,3678
20200717,3676
20200720,3678
20200721,3680
20200722,3681
20200723,3684
20200724,3682
20200727,3684
20200728,3685
20200729,3687
20200730,3691
20200731,3691
20200803,3692
20200804,3695
20200805,3698
20200806,3697
20200807,3697
20200810,3701
20200811,3701
20200812,3703
20200813,3703
20200814,3703
20200817,3702
20200818,3703
20200819,3704
20200820,3706
20200821,3705
20200824,3724
20200825,3729
20200826,3729
20200827,3729
20200828,3730
20200831,3728
20200901,3734
20200902,3734
20200903,3734
20200904,3732
20200907,3734
20200908,3732
20200909,3731
20200910,3736
20200911,3737
20200914,3740
20200915,3742
20200916,3746
20200917,3750
20200918,3754
20200921,3758
20200922,3757
20200923,3756
20200924,3765
20200925,3765
20200928,3772
20200929,3777
20200930,3778
20201009,3781
20201012,3782
20201013,3785
20201014,3785
20201015,3786
20201016,3786
20201019,3788
20201020,3790
20201021,3790
20201022,3795
20201023,3794
20201026,3795
20201027,3797
20201028,3797
20201029,3801
20201030,3799
20201102,3801
20201103,3803
20201104,3803
20201105,3806
20201106,3805
20201109,3811
20201110,3813
20201111,3813
20201112,3812
20201113,3810
20201116,3813
20201117,3814
20201118,3817
20201119,3816
20201120,3816
20201123,3816
20201124,3814
20201125,3816
20201126,3820
20201127,3818
20201130,3820
20201201,3818
20201202,3819
20201203,3822
20201204,3820
20201207,3824
20201208,3825
20201209,3828
20201210,3828
20201211,3828
20201214,3831
20201215,3834
20201216,3835
20201217,3836
20201218,3837
20201221,3836
20201222,3840
20201223,3841
20201224,3841
20201225,3843
20201228,3847
20201229,3851
20201230,3852
20201231,3853
20210104,3858
20210105,3858
20210106,3862
20210107,3865
20210108,3860
20210111,3859
20210112,3862
20210113,3861
20210114,3859
20210115,3857
20210118,3860
20210119,3861
20210120,3860
20210121,3866
20210122,3867
20210125,3869
20210126,3870
20210127,3872
20210128,3875
20210129,3879
20210201,3881
20210202,3880
20210203,3881
20210204,3882
20210205,3881
20210208,3884
20210209,3890
20210210,3892
20210218,3892
20210219,3896
20210222,3895
20210223,3896
20210224,3898
20210225,3898
20210226,3894
20210301,3896
20210302,3900
20210303,3899
20210304,3900
20210305,3901
20210308,3904
20210309,3904
20210310,3903
20210311,3903
20210312,3902
20210315,3903
20210316,3905
20210317,3903
20210318,3904
20210319,3902
20210322,3910
20210323,3911
20210324,3911
20210325,3913
20210326,3916
20210329,3919
20210330,3916
20210331,3915
20210401,3918
20210402,3921
20210406,3922
20210407,3922
20210408,3924
20210409,3926
20210412,3928
20210413,3930
20210414,3928
20210415,3930
20210416,3934
20210419,3936
20210420,3942
20210421,3947
20210422,3939
20210423,3935
20210426,3930
20210427,3929
20210428,3934
20210429,3916
20210430,3927
20210506,3946
20210507,3949
20210510,3953
20210511,3955
20210512,3960
20210513,3962
20210514,3959
20210517,3955
20210518,3951
20210519,3960
20210520,3972
20210521,3966
20210524,3966
20210525,3974
20210526,3980
20210527,3980
20210528,3979
20210531,3986
20210601,3987
20210602,3986
20210603,3990
20210604,3987
20210607,3986
20210608,3989
20210609,3987
20210610,3990
20210611,3989
20210615,3988
20210616,3990
20210617,3991
20210618,3989
20210621,3990
20210622,3994
20210623,3996
20210624,3997
20210625,4004
20210628,4006
20210629,4005
20210630,4011
20210701,4010
20210702,4012
20210705,4014
20210706,4018
20210707,4022
20210708,4023
20210709,4022
20210712,4021
20210713,4021
20210714,4021
20210715,4024
20210716,4022
20210719,4023
20210720,4024
20210721,4024
20210722,4031
20210723,4032
20210726,4036
20210727,4038
20210728,4040
20210729,4042
20210730,4040
20210802,4041
20210803,4044
20210804,4046
20210805,4047
20210806,4050
20210809,4052
20210810,4053
20210811,4055
20210812,4060
20210813,4062
20210816,4062
20210817,4065
20210818,4065
20210819,4069
20210820,4070
20210823,4069
20210824,4069
20210825,4073
20210826,4074
20210827,4074
20210830,4074
20210831,4073
20210901,4074
20210902,4074
20210903,4073
20210906,4074
20210907,4075
20210908,4078
20210909,4079
20210910,4079
20210913,4087
20210914,4088
20210915,4087
20210916,4089
20210917,4084
20210922,4084
20210923,4084
20210924,4083
20210927,4084
20210928,4089
20210929,4090
20210930,4096
20211008,4096
20211011,4099
20211012,4102
20211013,4103
20211014,4105
20211015,4106
20211018,4110
20211019,4110
20211020,4112
20211021,4113
20211022,4114
20211025,4114
20211026,4116
20211027,4121
20211028,4125
20211029,4124
20211101,4127
20211102,4126
20211103,4127
20211104,4126
20211105,4127
20211108,4130
20211109,4129
20211110,4127
20211111,4127
20211112,4133
20211115,4134
20211116,4133
20211117,4136
20211118,4140
20211119,4141
20211122,4144
20211123,4144
20211124,4144
20211125,4144
20211126,4143
20211129,4144
20211130,4146
20211201,4145
20211202,4147
20211203,4147
20211206,4152
20211207,4155
