trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection
20220104,0.9576002017320755,0.60070671378091878,0.7505518763796909,453,340
20220105,0.92573485251115062,0.4846029173419773,0.65283842794759828,458,299
20220106,0.95455552059452964,0.66666666666666663,0.80000000000000004,455,364
20220107,0.95632298852495801,0.63120567375886527,0.77391304347826084,460,356
20220110,0.93172030382445925,0.59999999999999998,0.75,456,342
20220111,0.90717052778341634,0.46325878594249204,0.63318777292576423,458,290
20220112,0.9370526703830695,0.46925566343042069,0.63876651982378851,454,290
20220113,0.93236852026566841,0.59581881533101044,0.74672489082969429,458,342
20220114,0.971627325670957,0.64388489208633093,0.78336980306345738,457,358
20220117,0.95743008035282029,0.57291666666666663,0.72847682119205293,453,330
20220118,0.948419261436931,0.60209424083769636,0.75163398692810457,459,345
20220119,0.91635505124516836,0.54729729729729726,0.70742358078602618,458,324
20220120,0.90865562868363881,0.43525741029641185,0.60652173913043483,460,279
20220121,0.90121472217251331,0.39301972685887709,0.56427015250544665,459,259
20220124,0.86956671574764499,0.44936708860759494,0.62008733624454149,458,284
20220125,0.89825669097632743,0.55743243243243246,0.71583514099783085,461,330
20220126,0.76797699008368903,0.27399165507649514,0.43013100436681223,458,197
20220127,0.8937856736946409,0.49114331723027377,0.65874730021598271,463,305
20220128,0.80754835277718606,0.33722627737226279,0.50436681222707425,458,231
20220207,0.91016076869734064,0.51252086811352249,0.67770419426048567,453,307
20220208,0.80507885322456785,0.41965678627145087,0.59120879120879122,455,269
20220209,0.9120183796642598,0.33039647577092512,0.49668874172185429,453,225
20220210,0.82177023785689196,0.36716417910447763,0.53711790393013104,458,246
20220211,0.90079579546726507,0.46411483253588515,0.63398692810457513,459,291
20220214,0.81355024042674529,0.29078014184397161,0.45054945054945056,455,205
20220215,0.71035841128192523,0.19895287958115182,0.33187772925764192,458,152
20220216,0.7266999722625227,0.17783505154639176,0.30196936542669583,457,138
20220217,0.79954836648440997,0.34999999999999998,0.51851851851851849,459,238
20220218,0.80579344120419505,0.26620689655172414,0.420479302832244,459,193
20220221,0.92322269883190966,0.44497607655502391,0.61589403973509937,453,279
20220222,0.8924432135271978,0.44566929133858268,0.61655773420479298,459,283
20220223,0.9059271114330667,0.46688206785137321,0.63656387665198233,454,289
20220224,0.87274385831631918,0.45800316957210774,0.62826086956521743,460,289
20220225,0.86033952470909725,0.40275650842266464,0.57423580786026196,458,263
20220228,0.88424725187434994,0.41666666666666669,0.58823529411764708,459,270
20220301,0.88718583620240576,0.44025157232704404,0.611353711790393,458,280
20220302,0.93529286384632837,0.50657894736842102,0.67248908296943233,458,308
20220303,0.9227250703134926,0.413953488372093,0.58552631578947367,456,267
20220304,0.93075968720371161,0.49755301794453505,0.66448801742919394,459,305
20220307,0.91466685254528235,0.44025157232704404,0.611353711790393,458,280
20220308,0.91897953932700283,0.55033557046979864,0.70995670995671001,462,328
20220309,0.56301948569917426,0.15181932245922208,0.26361655773420478,459,121
20220310,0.92022311975141113,0.50413223140495866,0.67032967032967028,455,305
20220311,0.83542023780249486,0.30758226037195996,0.47045951859956237,457,215
20220314,0.74589762117920344,0.24324324324324326,0.39130434782608697,460,180
20220315,0.83810415099142366,0.38023952095808383,0.55097613882863339,461,254
20220316,0.80567109840894513,0.20427236315086783,0.3392461197339246,451,153
20220317,0.89861751490766562,0.42677165354330709,0.59823399558498891,453,271
20220318,0.91660199962351951,0.48440065681444994,0.65265486725663713,452,295
20220321,0.89954359118712413,0.35232383808095952,0.52106430155210648,451,235
20220322,0.88615135916454901,0.37878787878787878,0.5494505494505495,455,250
20220323,0.78562296871956372,0.26666666666666666,0.42105263157894735,456,192
20220324,0.9320732255687374,0.50328947368421051,0.66958424507658643,457,306
20220325,0.87977908802276616,0.4592,0.62938596491228072,456,287
20220328,0.86356355759429493,0.4718196457326892,0.64113785557986869,457,293
20220329,0.90336349922145631,0.41576506955177744,0.5873362445414847,458,269
20220330,0.85608554637108547,0.37349397590361444,0.54385964912280704,456,248
20220331,0.76302001823450261,0.24897959183673468,0.39869281045751637,459,183
20220401,0.86918159481820212,0.413953488372093,0.58552631578947367,456,267
20220406,0.94177497696484658,0.63375224416517051,0.77582417582417584,455,353
20220407,0.87036607202441774,0.41321044546850999,0.58478260869565213,460,269
20220408,0.92446196463105024,0.5785837651122625,0.73304157549234139,457,335
20220411,0.86713281758007532,0.47030497592295345,0.63973799126637554,458,293
20220412,0.94774141264084666,0.48039215686274511,0.64900662251655628,453,294
20220413,0.86206438387480389,0.32658959537572252,0.49237472766884532,459,226
20220414,0.86935749022787423,0.41835147744945567,0.58991228070175439,456,269
20220415,0.91461672556475948,0.44881889763779526,0.61956521739130432,460,285
20220418,0.92248702529583382,0.57712305025996535,0.73186813186813182,455,333
20220419,0.94060851392080602,0.65280289330922248,0.78993435448577676,457,361
20220420,0.88615478206653808,0.39421613394216132,0.56550218340611358,458,259
20220421,0.89987332831272338,0.47520000000000001,0.64425162689804771,461,297
20220422,0.91778398170000641,0.58608695652173914,0.73903508771929827,456,337
20220425,0.82921450537525021,0.47756410256410259,0.6464208242950108,461,298
20220426,0.8448987227553979,0.34897360703812319,0.5173913043478261,460,238
20220427,0.71078946073131255,0.29682997118155618,0.45777777777777778,450,206
20220428,0.86432997730523475,0.37048192771084337,0.54065934065934063,455,246
20220429,0.8781555177705469,0.46333333333333332,0.63325740318906609,439,278
20220505,0.86456997142115699,0.4560260586319218,0.62639821029082776,447,280
20220506,0.89958966940080398,0.34518518518518521,0.513215859030837,454,233
20220509,0.84487761960772934,0.31571218795888401,0.4799107142857143,448,215
20220510,0.81960086253544884,0.27864214992927866,0.43584070796460178,452,197
20220511,0.73622186824389668,0.13075965130759651,0.23127753303964757,454,105
20220512,0.86406937764567648,0.34315169366715759,0.51096491228070173,456,233
20220513,0.88419505815088473,0.32262773722627736,0.48785871964679911,453,221
20220516,0.87447273670729875,0.33825701624815363,0.50551876379690952,453,229
20220517,0.86537074877771403,0.25966850828729282,0.41228070175438597,456,188
20220518,0.87406845676150091,0.34023668639053256,0.50772626931567333,453,230
20220519,0.92218400792777089,0.43217665615141954,0.6035242290748899,454,274
20220520,0.91425560223351254,0.4707792207792208,0.64017660044150115,453,290
20220523,0.93858173693530444,0.53299492385786806,0.69536423841059603,453,315
20220524,0.56888427562885335,0.18709677419354839,0.31521739130434784,460,145
20220525,0.91637141957764889,0.55403087478559176,0.71302428256070638,453,323
20220526,0.88923807942524846,0.39541984732824426,0.56673960612691465,457,259
20220527,0.8987232411895455,0.46302250803858519,0.63296703296703294,455,288
