trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection,top10_exclusive_union_fraction,top10_per_model_exclusive_fraction
20240102,0.91279805200765685,0.60420315236427324,0.75327510917030571,458,345,0.39579684763572676,0.24672489082969429
20240103,0.92592113295135803,0.66969147005444651,0.80217391304347829,460,369,0.33030852994555349,0.19782608695652171
20240104,0.90770925480872133,0.5436241610738255,0.70434782608695656,460,324,0.4563758389261745,0.29565217391304344
20240105,0.86353903252142883,0.60695652173913039,0.75541125541125542,462,349,0.39304347826086961,0.24458874458874458
20240108,0.9157248861696955,0.63765541740674958,0.77874186550976143,461,359,0.36234458259325042,0.22125813449023857
20240109,0.83444657464800109,0.60558464223385688,0.7543478260869565,460,347,0.39441535776614312,0.2456521739130435
20240110,0.8881870794925677,0.66666666666666663,0.80000000000000004,460,368,0.33333333333333337,0.19999999999999996
20240111,0.86088855769160466,0.62477876106194685,0.76906318082788672,459,353,0.37522123893805315,0.23093681917211328
20240112,0.8844844748576588,0.62962962962962965,0.77272727272727271,462,357,0.37037037037037035,0.22727272727272729
20240115,0.9110368906292986,0.68807339449541283,0.81521739130434778,460,375,0.31192660550458717,0.18478260869565222
20240116,0.86858295125809626,0.62038664323374337,0.7657266811279827,461,353,0.37961335676625663,0.2342733188720173
20240117,0.85817743081564335,0.51894563426688634,0.68329718004338391,461,315,0.48105436573311366,0.31670281995661609
20240118,0.82211841898894766,0.50653594771241828,0.67245119305856837,461,310,0.49346405228758172,0.32754880694143163
20240119,0.84403945691537552,0.56462585034013602,0.72173913043478266,460,332,0.43537414965986398,0.27826086956521734
20240122,0.93240830122688301,0.63539823008849561,0.77705627705627711,462,359,0.36460176991150439,0.22294372294372289
20240123,0.84146585971116272,0.52570480928689889,0.68913043478260871,460,317,0.47429519071310111,0.31086956521739129
20240124,0.80596848641277585,0.45541401273885351,0.62582056892778992,457,286,0.54458598726114649,0.37417943107221008
20240125,0.86333435699324224,0.38837920489296635,0.55947136563876654,454,254,0.6116207951070336,0.44052863436123346
20240126,0.89709732916882934,0.49918166939443537,0.66593886462882101,458,305,0.50081833060556469,0.33406113537117899
20240129,0.9437621152535357,0.5714285714285714,0.72727272727272729,462,336,0.4285714285714286,0.27272727272727271
20240130,0.94335659812626493,0.59585492227979275,0.74675324675324672,462,345,0.40414507772020725,0.25324675324675328
20240131,0.90692873027483834,0.61538461538461542,0.76190476190476186,462,352,0.38461538461538458,0.23809523809523814
20240201,0.92867037850430834,0.56081081081081086,0.7186147186147186,462,332,0.43918918918918914,0.2813852813852814
20240202,0.96558681397224733,0.59036144578313254,0.74242424242424243,462,343,0.40963855421686746,0.25757575757575757
20240205,0.92424442019735986,0.65949820788530467,0.79481641468682507,463,368,0.34050179211469533,0.20518358531317493
20240206,0.76560690973618239,0.39534883720930231,0.56666666666666665,450,255,0.60465116279069764,0.43333333333333335
20240207,0.93605493513452687,0.43898573692551507,0.61013215859030834,454,277,0.56101426307448499,0.38986784140969166
20240208,0.89566798555786986,0.4033898305084746,0.5748792270531401,414,238,0.59661016949152534,0.4251207729468599
20240219,0.92831590175028689,0.50257289879931388,0.66894977168949776,438,293,0.49742710120068612,0.33105022831050224
20240220,0.82363252331171555,0.35854765506807867,0.5278396436525612,449,237,0.64145234493192138,0.4721603563474388
20240221,0.83089048859134085,0.2612359550561798,0.41425389755011138,449,186,0.7387640449438202,0.58574610244988867
20240222,0.84199891909502278,0.37462235649546827,0.54505494505494501,455,248,0.62537764350453173,0.45494505494505499
20240223,0.91767193549706638,0.54109589041095896,0.70222222222222219,450,316,0.45890410958904104,0.29777777777777781
20240226,0.74084760170748598,0.29059829059829062,0.45033112582781459,453,204,0.70940170940170932,0.54966887417218535
20240227,0.82654880580112311,0.45425361155698235,0.6247240618101545,453,283,0.54574638844301759,0.3752759381898455
20240228,0.92177866924546126,0.40548780487804881,0.57700650759219085,461,266,0.59451219512195119,0.42299349240780915
20240229,0.92325598001177633,0.60923623445825936,0.75717439293598232,453,343,0.39076376554174064,0.24282560706401768
20240301,0.69585979199546233,0.22192513368983957,0.36323851203501095,457,166,0.77807486631016043,0.63676148796498899
20240304,0.84166787491786543,0.31601731601731603,0.48026315789473684,456,219,0.68398268398268391,0.51973684210526316
