trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20240102,4650,4650,0,4523,4523,4462,4589,447,446,459,0.045417062228886751,-0.0040393926736530337,-0.00069197173171676703,0.0059240909451663253,
20240103,4650,4650,0,4523,4523,4477,4604,448,447,461,0.17309915821397479,0.0018415357490585806,0.0046799685055674374,0.0098433655271598277,0.73626373626373631
20240104,4650,4650,0,4523,4523,4481,4608,449,448,461,0.11028127607644037,-0.018971731846757264,-0.0028744816182083924,0.0059862584918701639,0.7050561797752809
20240105,4650,4650,0,4524,4524,4499,4625,450,449,463,0.16844317226870004,-0.014228741252787419,0.0043773392704141954,0.0092699127274349542,0.69491525423728806
20240108,4650,4650,0,4523,4523,4488,4615,449,448,462,0.12220530659625069,0.0096111560956545355,0.003689375938742431,0.011373066313631955,0.68233618233618232
20240109,4650,4650,0,4523,4523,4475,4602,448,447,461,-0.0071854349228240855,-0.010762273317201599,-0.0017783911433445886,0.0037043947145346551,0.72689655172413792
20240110,4650,4650,0,4524,4524,4483,4609,449,448,461,0.16696578781371613,0.026731712769078174,0.010541107282196319,0.012077717661282473,0.73002754820936633
20240111,4650,4650,0,4523,4523,4470,4596,447,447,460,-0.087877922167886466,-0.011472432356615049,-0.0045850465246253629,0.0040218220932867182,0.7064606741573034
20240112,4650,4650,0,4522,4522,4497,4624,450,449,463,0.023551063197922304,0.0011664568541525902,0.0027270070495476364,0.004789349064099978,0.73388203017832643
20240115,4650,4650,0,4524,4524,4480,4606,448,448,461,0.060399768263094705,-0.0061734845985980114,-0.0016606511060182263,0.0011833971676033098,0.62908011869436198
20240116,4650,4650,0,4526,4526,4491,4615,450,449,462,0.058697020307631978,-0.023780023559798507,0.00052125615157322044,0.005124728604680575,0.63663220088626293
20240117,4650,4650,0,4526,4526,4488,4612,449,448,462,0.23110848245740973,0.00094622085216932773,0.0087074623571194668,0.010343008712060116,0.69675599435825109
20240118,4650,4650,0,4527,4527,4490,4613,449,449,462,-0.043919619772802856,-0.015135445272349158,-0.0026673470332962568,0.00214819417903684,0.68936170212765957
20240119,4650,4650,0,4527,4527,4483,4606,449,448,461,-0.048188946901500565,-0.056600422336609155,0.0006918490981331557,0.00026629009858716163,0.69999999999999996
20240122,4650,4650,0,4528,4528,4505,4627,451,450,463,-0.0085243446509629672,0.0029568277287524451,0.00045329225340862058,0.008802031571909414,0.68936170212765957
20240123,4650,4650,0,4527,4527,4478,4600,448,447,460,0.036120507476042389,0.01548663256779261,-0.0013281576848320539,0.0021850396971998583,0.78071334214002641
20240124,4650,4650,0,4529,4529,4449,4570,445,444,457,0.1088785118516406,0.039188323431946656,0.0038338465585563003,0.0080554119758166377,0.75238095238095237
20240125,4650,4650,0,4529,4529,4423,4544,443,442,455,0.27390756630031193,0.0039959840709836514,0.005754037066483017,0.016583171343478524,0.72268907563025209
20240126,4650,4650,0,4530,4530,4465,4585,447,446,459,-0.13997314020981602,-0.039843108886134841,-0.0099396748452162884,-0.0056465846823243737,0.59600614439324118
20240129,4650,4650,0,4530,4530,4502,4622,451,450,463,-0.02881673730641901,-0.03627150333668968,-0.0043710323700261594,0.0061613749544899704,0.74215552523874484
20240130,4650,4650,0,4531,4531,4508,4627,451,450,463,-0.13919426502644844,-0.058190812715455342,-0.011243194360589605,-0.0018749312056693113,0.699438202247191
20240131,4650,4650,0,4532,4532,4505,4623,451,450,463,0.030134537757891922,-0.0093540706227807306,0.0063336884059357352,0.020354539012090667,0.65991316931982635
20240201,4650,4650,0,4531,4531,4501,4620,451,450,462,0.16781274303605578,-0.04654079993738261,-0.0045319088647763975,0.0075235287408849522,0.75336927223719674
20240202,4650,4650,0,4532,4532,4507,4625,451,450,463,-0.55456043129341326,-0.11720067453835314,-0.035770807190475276,-0.05975198622736607,0.87878787878787878
