trade_date,eligible_rows,top_rows,missing_eligible,missing_top,largest_equal_prediction_group,cutoff_tie_group,cutoff_tie_selected,boundary_splits_tie
20230103,4540,454,368,0,365,1,1,False
20230104,4588,458,366,0,364,1,1,False
20230105,4600,460,367,0,364,1,1,False
20230106,4615,461,370,0,365,1,1,False
20230109,4608,460,370,0,366,1,1,False
20230110,4612,461,366,0,365,1,1,False
20230111,4620,462,369,0,365,1,1,False
20230112,4611,461,369,0,368,1,1,False
20230113,4616,461,369,0,367,1,1,False
20230116,4604,460,369,0,366,1,1,False
20230117,4614,461,370,0,367,1,1,False
20230118,4613,461,372,0,368,1,1,False
20230119,4619,461,371,0,369,1,1,False
20230120,4621,462,372,0,368,1,1,False
20230130,4560,456,374,0,369,1,1,False
20230131,4604,460,375,0,370,1,1,False
20230201,4578,457,374,0,370,1,1,False
20230202,4601,460,374,0,369,1,1,False
20230203,4613,461,374,0,369,1,1,False
20230206,4614,461,372,0,368,1,1,False
20230207,4606,460,373,0,366,1,1,False
20230208,4618,461,372,0,368,1,1,False
20230209,4619,461,371,0,368,1,1,False
20230210,4623,462,371,0,368,1,1,False
20230213,4601,460,371,0,367,1,1,False
20230214,4622,462,371,0,367,1,1,False
20230215,4609,460,370,0,366,1,1,False
20230216,4630,463,369,0,365,1,1,False
20230217,4622,462,370,0,364,1,1,False
20230220,4612,461,368,0,365,1,1,False
20230221,4634,463,369,0,365,1,1,False
20230222,4625,462,369,0,365,1,1,False
20230223,4628,462,371,0,365,1,1,False
20230224,4633,463,372,0,366,1,1,False
20230227,4631,463,373,0,366,1,1,False
20230228,4617,461,371,0,365,1,1,False
20230301,4611,461,371,0,365,1,1,False
20230302,4622,462,370,0,365,1,1,False
20230303,4624,462,371,0,365,1,1,False
20230306,4624,462,370,0,365,1,1,False
20230307,4623,462,370,0,365,1,1,False
20230308,4615,461,371,0,365,1,1,False
20230309,4619,461,371,0,365,1,1,False
20230310,4629,462,371,0,365,1,1,False
20230313,4619,461,369,0,364,1,1,False
20230314,4632,463,369,0,364,1,1,False
20230315,4617,461,369,0,364,1,1,False
20230316,4637,463,371,0,364,1,1,False
20230317,4621,462,373,0,364,1,1,False
20230320,4627,462,373,0,364,1,1,False
20230321,4609,460,372,0,364,1,1,False
20230322,4621,462,373,0,364,1,1,False
20230323,4626,462,371,0,364,1,1,False
20230324,4622,462,370,0,364,1,1,False
20230327,4609,460,369,0,364,1,1,False
20230328,4620,462,370,0,364,1,1,False
20230329,4628,462,370,0,364,1,1,False
20230330,4631,463,372,1,364,1,1,False
20230331,4616,461,373,0,365,1,1,False
20230403,4608,460,371,0,366,1,1,False
20230404,4630,463,371,0,365,1,1,False
20230406,4623,462,373,0,366,1,1,False
20230407,4605,460,374,0,368,1,1,False
20230410,4631,463,373,0,368,1,1,False
20230411,4618,461,373,0,367,1,1,False
20230412,4594,459,373,0,367,1,1,False
20230413,4615,461,374,0,367,1,1,False
20230414,4616,461,376,0,367,1,1,False
20230417,4610,461,374,0,367,1,1,False
20230418,4626,462,374,0,366,1,1,False
20230419,4620,462,375,0,367,1,1,False
20230420,4619,461,374,0,366,1,1,False
20230421,4639,463,377,0,367,1,1,False
20230424,4611,461,377,0,368,1,1,False
20230425,4617,461,385,1,368,1,1,False
20230426,4596,459,393,2,372,1,1,False
20230427,4611,461,409,2,373,1,1,False
20230428,4559,455,452,7,377,1,1,False
20230504,4549,454,436,0,382,1,1,False
20230505,4601,460,398,0,370,1,1,False
20230508,4595,459,403,0,371,1,1,False
20230509,4627,462,404,0,373,1,1,False
20230510,4612,461,402,0,371,1,1,False
20230511,4593,459,399,0,370,1,1,False
20230512,4623,462,398,0,370,1,1,False
20230515,4613,461,399,0,370,1,1,False
20230516,4626,462,395,0,368,1,1,False
20230517,4608,460,394,1,367,1,1,False
20230518,4605,460,394,0,366,1,1,False
20230519,4619,461,394,0,366,1,1,False
20230522,4603,460,395,0,366,1,1,False
20230523,4609,460,395,0,366,1,1,False
20230524,4604,460,395,0,366,1,1,False
20230525,4607,460,397,0,366,1,1,False
20230526,4602,460,400,0,366,1,1,False
20230529,4614,461,402,0,369,1,1,False
20230530,4601,460,400,0,368,1,1,False
20230531,4593,459,399,1,368,1,1,False
20230601,4601,460,398,0,369,1,1,False
20230602,4581,458,400,0,369,1,1,False
20230605,4583,458,400,0,369,1,1,False
20230606,4599,459,400,0,369,1,1,False
20230607,4575,457,402,0,369,1,1,False
20230608,4612,461,404,0,370,1,1,False
20230609,4578,457,404,0,370,1,1,False
20230612,4585,458,405,0,372,1,1,False
20230613,4597,459,404,0,373,1,1,False
20230614,4596,459,406,0,372,1,1,False
20230615,4605,460,405,0,375,1,1,False
20230616,4590,459,406,0,375,1,1,False
20230619,4598,459,206,1,176,1,1,False
20230620,4612,461,206,0,174,1,1,False
20230621,4606,460,201,0,171,1,1,False
20230626,4601,460,203,1,172,1,1,False
20230627,4572,457,202,0,169,1,1,False
20230628,4607,460,196,0,166,1,1,False
20230629,4584,458,197,0,166,1,1,False
20230630,4589,458,194,0,164,1,1,False
20230703,4591,459,192,0,163,1,1,False
20230704,4589,458,192,0,162,1,1,False
20230705,4616,461,192,0,161,1,1,False
20230706,4610,461,191,0,160,1,1,False
20230707,4622,462,191,0,158,1,1,False
20230710,4607,460,189,0,157,1,1,False
20230711,4605,460,193,0,157,1,1,False
20230712,4614,461,192,0,154,1,1,False
20230713,4612,461,191,0,152,1,1,False
20230714,4609,460,189,0,151,1,1,False
20230717,4616,461,187,0,150,1,1,False
20230718,4628,462,187,0,150,1,1,False
20230719,4629,462,185,0,149,1,1,False
20230720,4621,462,185,0,148,1,1,False
20230721,4615,461,186,0,147,1,1,False
20230724,4623,462,184,0,147,1,1,False
20230725,4590,459,181,0,145,1,1,False
20230726,4604,460,180,0,143,1,1,False
20230727,4624,462,179,0,144,1,1,False
20230728,4602,460,179,0,144,1,1,False
20230731,4595,459,179,0,144,1,1,False
20230801,4611,461,178,0,142,1,1,False
20230802,4618,461,178,0,142,1,1,False
20230803,4623,462,175,0,140,1,1,False
20230804,4628,462,174,0,141,1,1,False
20230807,4616,461,174,0,141,1,1,False
20230808,4614,461,173,0,140,1,1,False
20230809,4622,462,171,0,138,1,1,False
20230810,4618,461,169,0,137,1,1,False
20230811,4624,462,169,1,136,1,1,False
20230814,4614,461,169,0,136,1,1,False
20230815,4612,461,168,0,136,1,1,False
