trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection
20240102,-0.56943757089149083,0.013274336283185841,0.026200873362445413,458,12
20240103,-0.61332728192863739,0.008771929824561403,0.017391304347826087,460,8
20240104,-0.67912128641514402,0.0043668122270742356,0.0086956521739130436,460,4
20240105,-0.23704988713146369,0.014270032930845226,0.02813852813852814,462,13
20240108,-0.31187126927750264,0.014301430143014302,0.028199566160520606,461,13
20240109,-0.55967290099093636,0.0043668122270742356,0.0086956521739130436,460,4
20240110,-0.40102714379772769,0.021087680355160933,0.041304347826086954,460,19
20240111,-0.51432675403371553,0.0076838638858397366,0.015250544662309368,459,7
20240112,-0.41506739681484645,0.03937007874015748,0.07575757575757576,462,35
20240115,-0.70279951563196907,0.0043668122270742356,0.0086956521739130436,460,4
20240116,-0.65409771406864703,0.0087527352297592995,0.01735357917570499,461,8
20240117,0.0034508313554308416,0.025583982202447165,0.049891540130151846,461,23
20240118,-0.49662751814525635,0.0087527352297592995,0.01735357917570499,461,8
20240119,-0.24635943528443469,0.052631578947368418,0.10000000000000001,460,46
20240122,0.33960301520697139,0.096085409252669035,0.17532467532467533,462,81
20240123,-0.16842799128985952,0.041902604756511891,0.080434782608695646,460,37
20240124,-0.40710828887770301,0.014428412874583796,0.028446389496717725,457,13
20240125,0.047426111008842059,0.034168564920273349,0.066079295154185022,454,30
20240126,-0.24584608698565918,0.039727582292849034,0.076419213973799124,458,35
20240129,0.067294414497279714,0.032402234636871509,0.062770562770562768,462,29
20240130,0.15077696935884158,0.062068965517241378,0.11688311688311688,462,54
20240131,0.43542271165174373,0.11864406779661017,0.21212121212121213,462,98
20240201,0.25455584931147118,0.1079136690647482,0.19480519480519481,462,90
20240202,0.38296164870645288,0.098692033293697981,0.17965367965367965,462,83
20240205,0.74496986457436232,0.33045977011494254,0.49676025917926564,463,230
20240206,0.22443298558111005,0.15384615384615385,0.26666666666666666,450,120
20240207,0.60137918453900219,0.20424403183023873,0.33920704845814981,454,154
20240208,0.56542977890145296,0.15320334261838439,0.26570048309178745,414,110
20240219,0.56559567572454061,0.17900403768506057,0.30365296803652969,438,133
20240220,0.19883706433287121,0.091130012150668294,0.16703786191536749,449,75
20240221,0.2454657218453016,0.038150289017341042,0.073496659242761692,449,33
20240222,0.062876473553907117,0.025930101465614429,0.05054945054945055,455,23
20240223,0.28590979788299442,0.11386138613861387,0.20444444444444446,450,92
20240226,-0.59111151687198837,0.0033222591362126247,0.0066225165562913907,453,3
20240227,-0.15415373795412385,0.041379310344827586,0.079470198675496692,453,36
20240228,0.20838461721591381,0.065895953757225428,0.12364425162689804,461,57
20240229,0.34080670001098751,0.18431372549019609,0.31125827814569534,453,141
20240301,-0.11841980563454026,0.067757009345794386,0.12691466083150985,457,58
20240304,-0.28632886639652011,0.015590200445434299,0.030701754385964911,456,14
20240305,-0.25795517577717142,0.053960964408725602,0.10239651416122005,459,47
20240306,-0.66346309796401637,0.0022075055187637969,0.0044052863436123352,454,2
20240307,-0.30385273457860046,0.014396456256921373,0.028384279475982533,458,13
20240308,-0.69145192801593802,0,0,457,0
20240311,-0.47002982325614429,0.0066371681415929203,0.013186813186813187,455,6
20240312,-0.54648954231767854,0.007717750826901874,0.015317286652078774,457,7
20240313,-0.67747799344990212,0.0054884742041712408,0.010917030567685589,458,5
20240314,-0.67121512416327711,0.011013215859030838,0.02178649237472767,459,10
20240315,-0.63204439608557061,0.0066225165562913907,0.013157894736842105,456,6
20240318,-0.48492751457582739,0.0077519379844961239,0.015384615384615385,455,7
20240319,-0.67492014755839624,0.0032858707557502738,0.0065502183406113534,458,3
20240320,-0.72502853681544233,0.0021978021978021978,0.0043859649122807015,456,2
20240321,-0.71010052729094986,0.0066079295154185024,0.013129102844638949,457,6
20240322,-0.5501850563710271,0.001092896174863388,0.0021834061135371178,458,1
20240325,-0.18912984023621615,0.014332965821389196,0.028260869565217391,460,13
20240326,-0.5380544732936785,0.021181716833890748,0.04148471615720524,458,19
20240327,-0.12963531582048771,0.013215859030837005,0.026086956521739129,460,12
20240328,-0.15516826431104497,0.012181616832779624,0.024070021881838075,457,11
20240329,-0.63299419361959885,0.0010952902519167579,0.0021881838074398249,457,1
20240401,-0.10622689338813149,0.025930101465614429,0.05054945054945055,455,23
20240402,-0.45930241129218752,0.026905829596412557,0.052401746724890827,458,24
20240403,-0.43883161351426081,0.031460674157303373,0.061002178649237473,459,28
20240408,-0.30245787960608228,0.015521064301552107,0.030567685589519649,458,14
20240409,-0.49447536641954198,0.021181716833890748,0.04148471615720524,458,19
20240410,-0.49780298320923755,0.015418502202643172,0.030368763557483729,461,14
20240411,-0.45467514112643209,0.015486725663716814,0.030501089324618737,459,14
20240412,-0.6525290469459557,0.0077007700770077006,0.015283842794759825,458,7
20240415,0.30887337290882255,0.15211970074812967,0.26406926406926406,462,122
20240416,0.58244913830095957,0.28254847645429365,0.44060475161987039,463,204
20240417,0.25697799429441914,0.18279569892473119,0.30909090909090908,440,136
20240418,-0.31230778613066157,0.03269447576099211,0.063318777292576414,458,29
20240419,-0.34753286490314128,0.04209328782707622,0.080786026200873357,458,37
20240422,-0.055813369864992045,0.10895883777239709,0.1965065502183406,458,90
20240423,-0.3038756137666257,0.04209328782707622,0.080786026200873357,458,37
20240424,-0.42207425166102119,0.024663677130044841,0.048140043763676151,457,22
20240425,-0.37459384787024436,0.040909090909090909,0.078602620087336247,458,36
20240426,-0.44299974275859549,0.020089285714285716,0.039387308533916851,457,18
20240429,0.13788139061883087,0.045191193511008108,0.086474501108647447,451,39
20240430,-0.12539463525634148,0.046964490263459335,0.089715536105032828,457,41
20240506,-0.098297960195192699,0.016797312430011199,0.033039647577092511,454,15
20240507,-0.41142424884438111,0.021181716833890748,0.04148471615720524,458,19
20240508,-0.53474553045095941,0.0021834061135371178,0.0043572984749455342,459,2
