trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection
20220104,-0.60730243979427601,0.0022123893805309734,0.0044150110375275938,453,2
20220105,-0.58840217754853352,0.017777777777777778,0.034934497816593885,458,16
20220106,-0.64006454400343993,0.0033076074972436605,0.0065934065934065934,455,3
20220107,-0.49863908547050556,0.012101210121012101,0.02391304347826087,460,11
20220110,-0.62226358882254085,0.0044052863436123352,0.008771929824561403,456,4
20220111,-0.23241859910720589,0.072599531615925056,0.13537117903930132,458,62
20220112,-0.5511287620047628,0.012263099219620958,0.024229074889867842,454,11
20220113,-0.42554382291146048,0.026905829596412557,0.052401746724890827,458,24
20220114,-0.53524035041684326,0.0010952902519167579,0.0021881838074398249,457,1
20220117,-0.68128930404876353,0.0011049723756906078,0.0022075055187637969,453,1
20220118,-0.42135487965972895,0.014364640883977901,0.028322440087145968,459,13
20220119,-0.49498497072440312,0.029213483146067417,0.056768558951965066,458,26
20220120,-0.10080530418738691,0.10179640718562874,0.18478260869565216,460,85
20220121,-0.30888659276369629,0.057603686635944701,0.10893246187363835,459,50
20220124,-0.30901436541206434,0.04209328782707622,0.080786026200873357,458,37
20220125,0.22180141803474687,0.14676616915422885,0.2559652928416486,461,118
20220126,-0.056161841648997304,0.13788819875776398,0.2423580786026201,458,111
20220127,0.18919403144792438,0.16477987421383647,0.28293736501079914,463,131
20220128,-0.08545546165309624,0.10096153846153846,0.18340611353711792,458,84
20220207,-0.42627286808634735,0.047398843930635835,0.090507726269315678,453,41
20220208,-0.3712802329458767,0.049596309111880045,0.094505494505494503,455,43
20220209,-0.62381972895475324,0.0077864293659621799,0.015452538631346579,453,7
20220210,-0.45666463377704447,0.058959537572254334,0.11135371179039301,458,51
20220211,-0.21835153619627773,0.085106382978723402,0.15686274509803921,459,72
20220214,-0.49585646969928077,0.027088036117381489,0.052747252747252747,455,24
20220215,-0.50522069267334035,0.046857142857142854,0.089519650655021835,458,41
20220216,-0.62057319616745676,0.0099447513812154689,0.019693654266958426,457,9
20220217,-0.2370555992586347,0.16645489199491742,0.28540305010893247,459,131
20220218,-0.68065780835146616,0.0076838638858397366,0.015250544662309368,459,7
20220221,-0.69904979244175558,0.0022123893805309734,0.0044150110375275938,453,2
20220222,-0.52351481010129586,0.023411371237458192,0.045751633986928102,459,21
20220223,-0.51285935517475056,0.034168564920273349,0.066079295154185022,454,30
20220224,-0.2336164524563126,0.093935790725326998,0.17173913043478262,460,79
20220225,-0.34517803207271036,0.037372593431483581,0.072052401746724892,458,33
20220228,-0.34052211445057928,0.066202090592334492,0.12418300653594772,459,57
20220301,-0.61369385120521691,0.024608501118568233,0.048034934497816595,458,22
20220302,-0.70277226222013578,0.0043859649122807015,0.0087336244541484712,458,4
20220303,-0.46824390662343784,0.015590200445434299,0.030701754385964911,456,14
20220304,-0.56214172796915685,0.012127894156560088,0.023965141612200435,459,11
20220307,-0.36820012911367372,0.024608501118568233,0.048034934497816595,458,22
20220308,0.37212577570588112,0.29230769230769232,0.45238095238095238,462,209
20220309,-0.43251245346529138,0.049142857142857141,0.093681917211328972,459,43
20220310,-0.25593777383863708,0.014492753623188406,0.028571428571428571,455,13
20220311,-0.39171077063843412,0.057870370370370371,0.10940919037199125,457,50
20220314,-0.0070474413391939938,0.099163679808841096,0.18043478260869567,460,83
20220315,0.28586412179432824,0.21796565389696168,0.35791757049891543,461,165
20220316,-0.28512904564041647,0.029680365296803651,0.057649667405764965,451,26
20220317,-0.36660467971003041,0.033067274800456098,0.064017660044150104,453,29
20220318,-0.49535152794771703,0.0066815144766146995,0.013274336283185841,452,6
20220321,-0.53893503832221967,0.013483146067415731,0.026607538802660754,451,12
20220322,-0.37896755099100199,0.044776119402985072,0.085714285714285715,455,39
