trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20220104,4650,4650,0,4174,4174,4058,4534,406,405,454,0.091785867654082295,-0.013712774517828862,0.00068598140126045586,0.0088471367124902719,
20220105,4650,4650,0,4174,4174,4109,4585,411,410,459,0.10113981131537643,0.014137462403749496,0.0053040055712050959,0.011473089017964256,0.82798459563543003
20220106,4650,4650,0,4176,4176,4080,4554,408,408,456,0.14515261127676968,-0.01561818380891342,0.00037358406576430692,0.0104733110722579,0.82087628865979378
20220107,4650,4650,0,4177,4177,4128,4601,413,412,461,0.064718413026428834,0.0090431451711470417,0.00069173599737788923,0.0034220956094191167,0.85803237858032377
20220110,4650,4650,0,4178,4178,4095,4567,410,409,457,0.1843483484141428,0.0031944947081416113,0.007369724731175838,0.016376362742946852,0.81088082901554404
20220111,4650,4650,0,4181,4181,4113,4582,412,411,459,0.17113296803075195,0.018397862000790879,0.0052521719680644809,0.014582866001077355,0.84343434343434343
20220112,4650,4650,0,4179,4179,4077,4548,408,407,455,-0.010788570321276447,-0.011977552052362086,-0.0026777464403404047,-0.0022414175823419914,0.77970627503337786
20220113,4650,4650,0,4180,4180,4116,4586,412,411,459,0.072785658648096357,-0.0017273898239837395,0.0047205884544822933,-0.0040675948202525932,0.80522875816993467
20220114,4650,4650,0,4178,4178,4102,4573,411,410,458,0.099278066315233782,0.016830340367459878,0.0022010601707969542,0.0080554400304971019,0.76081081081081081
20220117,4650,4650,0,4182,4182,4066,4534,407,406,454,0.12057479319836424,-0.010932961312978223,0.0019533166093127548,0.0147407893372859,0.89721886336154777
20220118,4650,4650,0,4184,4184,4124,4590,413,412,459,-0.011235119830219837,-0.00155017620375893,-0.0028582049498552292,-0.00025637034444576717,0.90789473684210531
20220119,4650,4650,0,4182,4182,4116,4584,412,411,459,0.15796268942829808,-0.021012794385588316,0.0031317403772538506,0.0095671286744391654,0.88185140073081603
20220120,4650,4650,0,4185,4185,4136,4601,414,413,461,0.055364782338701846,-0.01346342109347279,-0.0025111729498108037,0.010447021604259086,0.87254901960784315
20220121,4650,4650,0,4184,4184,4126,4592,413,412,460,-0.10278352694750482,-0.0097739990853275231,-0.0066662888661388857,-0.0056531906993605528,0.85162094763092266
20220124,4650,4650,0,4186,4186,4122,4586,413,412,459,0.08071339493518255,-0.039874824197810632,0.0015739883318085651,0.0044140365488240241,0.82780612244897955
20220125,4650,4650,0,4187,4187,4152,4615,416,415,462,0.13642938505191846,0.0083352451158987383,0.001427270407985526,0.019494214780413865,0.83269961977186313
20220126,4650,4650,0,4188,4188,4127,4589,413,412,459,0.070721685594563752,-0.030401112067862196,0.0021058975382831219,0.015685680303190973,0.82225063938618925
20220127,4650,4650,0,4192,4192,4174,4632,418,417,464,0.15410941847488768,0.019793837187692828,0.0068028032366486604,0.019642209293291628,0.81666666666666665
20220128,4650,4650,0,4194,4194,4127,4583,413,412,459,-0.051059873958977334,0.013726913291690708,-0.0016432455800487831,0.0032858785470445684,0.79030144167758842
20220207,4650,4650,0,4195,4195,4086,4539,409,408,454,0.11052878943284568,0.019100654038598418,0.0039783727672117013,0.0060006025908786766,0.82345360824742264
20220208,4650,4650,0,4196,4196,4102,4556,411,410,456,-0.047277926496394833,0.012516586176002691,-0.0017859865445335552,-0.0051607554491816081,0.82124352331606221
20220209,4650,4650,0,4186,4186,4070,4534,407,407,454,0.19995576848971996,0.0018608207399425753,0.0042425854724893949,0.012674980358638371,0.80577427821522307
20220210,4650,4650,0,4187,4187,4120,4583,412,412,459,0.063038560311865638,-0.018189793320442786,0.0014660147210649212,0.0037492385949030767,0.83397190293742018
20220211,4650,4650,0,4198,4198,4142,4593,415,414,460,0.10291182944192337,0.0055636427315031885,0.0050460951965972944,0.0091995970876068024,0.73763736263736268
20220214,4650,4650,0,4199,4199,4105,4556,411,410,456,0.064412037853472798,0.0070588582852369134,0.0030267729017178467,0.012760504410382768,0.83163265306122447
20220215,4650,4650,0,4200,4200,4132,4582,414,413,459,-0.07247780381942151,0.009439529388986307,-0.003044784461296449,-0.0014061288513746613,0.84905660377358494
20220216,4650,4650,0,4200,4200,4121,4571,413,412,458,0.059853139876427486,-0.0014255238798811444,0.0016875399722352366,0.0071643450658831131,0.87760097919216651
20220217,4650,4650,0,4202,4202,4149,4597,415,414,460,0.090054986325180303,0.0074073767075162533,-0.00039858000425336149,0.0083857596510122871,0.83650190114068446
20220218,4650,4650,0,4202,4202,4142,4590,415,414,459,0.022493875951799185,0.013035006714122738,-0.00057708503603744535,-0.0017285590403518254,0.88875453446191055
