trade_date,eligible_rows,top_rows,missing_eligible,missing_top,largest_equal_prediction_group,cutoff_tie_group,cutoff_tie_selected,boundary_splits_tie
20240102,4589,458,127,127,123,1,1,False
20240103,4604,460,127,127,123,1,1,False
20240104,4608,460,127,127,123,1,1,False
20240105,4625,462,126,126,122,1,1,False
20240108,4615,461,127,127,122,1,1,False
20240109,4602,460,127,127,122,1,1,False
20240110,4609,460,126,126,120,1,1,False
20240111,4596,459,126,124,119,1,1,False
20240112,4624,462,127,127,120,1,1,False
20240115,4606,460,126,126,119,1,1,False
20240116,4615,461,124,124,117,1,1,False
20240117,4612,461,124,124,117,1,1,False
20240118,4613,461,123,122,116,1,1,False
20240119,4606,460,123,122,115,1,1,False
20240122,4627,462,122,122,115,1,1,False
20240123,4600,460,122,122,115,1,1,False
20240124,4570,457,121,121,113,1,1,False
20240125,4544,454,121,120,113,1,1,False
20240126,4585,458,120,120,114,1,1,False
20240129,4622,462,120,119,113,1,1,False
20240130,4627,462,119,119,112,1,1,False
20240131,4623,462,118,118,112,1,1,False
20240201,4620,462,119,118,112,1,1,False
20240202,4625,462,118,118,112,1,1,False
20240205,4633,463,119,118,112,1,1,False
20240206,4500,450,117,117,111,1,1,False
20240207,4544,454,117,117,111,1,1,False
20240208,4142,414,116,116,110,1,1,False
20240219,4382,438,116,116,110,1,1,False
20240220,4497,449,116,116,110,1,1,False
20240221,4495,449,116,116,110,1,1,False
20240222,4554,455,117,116,110,1,1,False
20240223,4504,450,118,118,110,1,1,False
20240226,4530,453,118,118,110,1,1,False
20240227,4538,453,118,117,110,1,1,False
20240228,4617,461,118,118,110,1,1,False
20240229,4539,453,118,118,110,1,1,False
20240301,4570,457,118,118,111,1,1,False
20240304,4563,456,118,118,111,1,1,False
20240305,4592,459,120,118,111,1,1,False
20240306,4547,454,119,119,112,1,1,False
20240307,4580,458,120,119,112,1,1,False
20240308,4573,457,120,119,111,1,1,False
20240311,4551,455,120,120,112,1,1,False
20240312,4572,457,119,119,111,1,1,False
20240313,4588,458,119,119,111,1,1,False
20240314,4599,459,120,119,111,1,1,False
20240315,4566,456,121,120,112,1,1,False
20240318,4559,455,121,121,112,1,1,False
20240319,4583,458,120,119,111,1,1,False
20240320,4563,456,120,120,111,1,1,False
20240321,4571,457,120,120,112,1,1,False
20240322,4584,458,120,120,112,1,1,False
20240325,4604,460,121,121,112,1,1,False
20240326,4586,458,119,119,111,1,1,False
20240327,4605,460,119,118,110,1,1,False
20240328,4570,457,114,112,104,1,1,False
20240329,4574,457,113,113,105,1,1,False
20240401,4557,455,111,111,106,1,1,False
20240402,4584,458,112,111,106,1,1,False
20240403,4591,459,111,111,105,1,1,False
20240408,4587,458,110,110,105,1,1,False
20240409,4587,458,108,108,104,1,1,False
20240410,4617,461,108,108,104,1,1,False
20240411,4597,459,108,108,104,1,1,False
20240412,4582,458,109,108,104,1,1,False
20240415,4624,462,109,109,104,1,1,False
20240416,4630,463,109,108,103,1,1,False
20240417,4409,440,110,110,104,1,1,False
20240418,4580,458,111,111,104,1,1,False
20240419,4587,458,113,111,104,1,1,False
20240422,4588,458,114,112,104,1,1,False
20240423,4584,458,114,113,105,1,1,False
20240424,4579,457,115,113,106,1,1,False
20240425,4585,458,126,119,108,1,1,False
20240426,4572,457,141,131,108,1,1,False
20240429,4514,451,183,142,112,1,1,False
20240430,4575,457,174,168,115,1,1,False
20240506,4546,454,126,126,107,1,1,False
20240507,4585,458,129,127,107,1,1,False
20240508,4590,459,131,129,107,1,1,False
20240509,4587,458,129,129,107,1,1,False
20240510,4607,460,132,129,107,1,1,False
20240513,4611,461,133,132,109,1,1,False
20240514,4567,456,129,128,107,1,1,False
20240515,4583,458,129,127,105,1,1,False
20240516,4587,458,128,128,106,1,1,False
20240517,4556,455,132,128,106,1,1,False
20240520,4589,458,132,132,109,1,1,False
20240521,4617,461,129,129,107,1,1,False
20240522,4596,459,128,128,106,1,1,False
20240523,4614,461,128,128,106,1,1,False
20240524,4594,459,130,128,106,1,1,False
20240527,4605,460,131,130,107,1,1,False
20240528,4616,461,132,130,106,1,1,False
20240529,4617,461,130,130,108,1,1,False
20240530,4607,460,132,131,107,1,1,False
20240531,4604,460,132,131,107,1,1,False
20240603,4626,462,133,131,108,1,1,False
20240604,4608,460,133,132,107,1,1,False
20240605,4623,462,127,127,107,1,1,False
20240606,4623,462,127,125,107,1,1,False
20240607,4568,456,130,128,108,1,1,False
20240611,4603,460,130,129,108,1,1,False
20240612,4557,455,127,125,108,1,1,False
20240613,4595,459,126,124,106,1,1,False
20240614,4598,459,124,123,106,1,1,False
20240617,4602,460,127,124,106,1,1,False
20240618,4584,458,128,127,106,1,1,False
20240619,4589,458,129,128,106,1,1,False
20240620,4620,462,129,128,105,1,1,False
20240621,4602,460,165,133,105,1,1,False
20240624,4619,461,169,165,119,1,1,False
20240625,4580,458,135,135,105,1,1,False
20240626,4584,458,137,134,105,1,1,False
