trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20230103,4650,4650,0,4282,4282,4172,4540,418,417,454,0.069499459618424062,0.003249599903254562,-0.0013887046460480537,0.0020162067555718529,
20230104,4650,4650,0,4284,4284,4222,4588,423,422,459,-0.13111265642212871,0.00045872355939737279,-0.00506325416000459,-0.0027787583220224635,0.29026217228464424
20230105,4650,4650,0,4283,4283,4233,4600,424,423,460,0.033413799328034871,-0.0049780294466773732,-0.0025382452628964925,0.0029143535877929139,0.30129390018484292
20230106,4650,4650,0,4280,4280,4245,4615,425,424,462,0.016114702343182803,0.0044335471580234341,-0.0014011657191968403,-0.0013653245112273272,0.28624535315985133
20230109,4650,4650,0,4280,4280,4238,4608,424,423,461,0.11773737165396012,-0.00047359162787341167,0.0016652924010795969,0.0029559900267703155,0.30642201834862381
20230110,4650,4650,0,4284,4284,4246,4612,425,424,462,0.060736384586101116,-0.0072872434893051239,0.00077014802435851435,0.0044525256123488727,0.32181818181818178
20230111,4650,4650,0,4281,4281,4251,4620,426,425,462,0.16041980804716907,0.0024673404038874349,0.0024644591810915519,0.0073869313043472117,0.29520295202952029
20230112,4650,4650,0,4281,4281,4242,4611,425,424,462,-0.025163277566167135,0.0022849345991689685,-0.0018221152436978553,0.0048801291800962682,0.2983425414364641
20230113,4650,4650,0,4281,4281,4247,4616,425,424,462,0.0022452785939216986,0.0076582416558724879,-0.0020645491090577114,0.003942795586517181,0.27932960893854752
20230116,4650,4650,0,4281,4281,4235,4604,424,423,461,0.11333432178318741,-0.0023563184924482055,7.4783721088596093e-05,0.0047678594272033761,0.30018416206261511
20230117,4650,4650,0,4280,4280,4244,4614,425,424,462,-0.060571099247823904,-5.7354871412028175e-05,-0.0042183098862493109,-0.00078283531401063299,0.29704797047970477
20230118,4650,4650,0,4278,4278,4241,4613,425,424,462,0.097271300832905139,0.0048820235621558575,-0.00025043486210360281,0.005467484593682217,0.29520295202952029
