trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20230103,4650,4650,0,4282,4282,4172,4540,418,417,454,0.096997943809747189,0.0051090174105715884,0.00047071286126897267,0.0049932284083208647,
20230104,4650,4650,0,4284,4284,4222,4588,423,422,459,-0.10451396691256708,0.0007633371836449378,-0.0047586405357570244,-0.0056689796479068681,0.87422934648581996
20230105,4650,4650,0,4283,4283,4233,4600,424,423,460,0.11081245524903836,-0.0013616986544393288,0.0010780855293415518,0.0085295236580893875,0.84402515723270444
20230106,4650,4650,0,4280,4280,4245,4615,425,424,462,0.0065746730150366261,0.0036579445075110677,-0.0021767683697092068,-0.0031736944618362311,0.86313193588162762
20230109,4650,4650,0,4280,4280,4238,4608,424,423,461,0.01990213444833857,-0.00066589011152391926,0.0014729939174290894,-0.00046550732471293676,0.90639810426540279
20230110,4650,4650,0,4284,4284,4246,4612,425,424,462,0.17466176487978907,-0.0060841095366545696,0.0019732819770090686,0.0077510116446611712,0.89593301435406703
20230111,4650,4650,0,4281,4281,4251,4620,426,425,462,0.034720201432458554,-0.0024115968557264426,-0.0024144780785223256,0.0016594253944736443,0.86066584463625151
20230112,4650,4650,0,4281,4281,4242,4611,425,424,462,0.012771673654242631,0.0027397628873743521,-0.0013672869554924717,0.0046486216406269659,0.84931506849315075
20230113,4650,4650,0,4281,4281,4247,4616,425,424,462,0.02350120356950957,0.0082148722436881424,-0.0015079185212420569,0.0036089972517811012,0.92182030338389731
20230116,4650,4650,0,4281,4281,4235,4604,424,423,461,-0.051300327970878759,-0.0056329135571798004,-0.0032018113436429988,-0.0037854200621912572,0.88661037394451148
20230117,4650,4650,0,4280,4280,4244,4614,425,424,462,0.039187482420740438,0.0028044671198458565,-0.001356487894991426,0.0027395556503038965,0.88121212121212122
20230118,4650,4650,0,4278,4278,4241,4613,425,424,462,0.0030184406428701385,0.0043246844699316236,-0.00080777395432783672,0.0012182618376423782,0.84931506849315075
20230119,4650,4650,0,4279,4279,4248,4619,425,424,462,0.10052627346383165,0.010075723553074838,0.00095339064267452485,0.0080608447935154575,0.86625766871165644
20230120,4650,4650,0,4278,4278,4249,4621,425,424,463,0.081153657176210994,0.017800125596805254,0.0040283497859231084,0.0055217474810037356,0.87742718446601942
20230130,4650,4650,0,4276,4276,4186,4560,419,418,456,0.083932962964103519,0.0052514607902761079,0.0012869196000249595,0.0062713148952557385,0.85696517412935325
20230131,4650,4650,0,4275,4275,4229,4604,423,422,461,-0.074930864462722332,0.012971189917443308,-0.0024996375813433891,-0.0046528381745266582,0.86086956521739133
20230201,4650,4650,0,4276,4276,4204,4578,421,420,458,0.086790325708182445,0.0030755558777214873,0.0013328637101716776,0.0057390112936872885,0.87239263803680978
20230202,4650,4650,0,4276,4276,4227,4601,423,422,461,0.025470820170661598,-0.0012161888201617681,-0.00015262654377724816,-0.00026305108259438688,0.84547738693467334
20230203,4650,4650,0,4276,4276,4239,4613,424,423,462,0.053340377127302864,-0.0022346035398167238,-0.00038916208927327039,-0.00080241322591974654,0.85341614906832297
20230206,4650,4650,0,4278,4278,4242,4614,425,424,462,-0.022542945249254862,0.0039017263669059465,-0.0028892741983194609,-0.0028877799130714479,0.67431850789096126
20230207,4650,4650,0,4277,4277,4233,4606,424,423,461,0.11100979250837764,-0.0033116225621198851,0.0016151171266204994,0.0078388338967771039,0.93540945790080743
20230208,4650,4650,0,4278,4278,4246,4618,425,424,462,0.057800504135844866,0.010077193876959227,-0.0018918699540635305,0.00073153009450380169,0.86887254901960786
20230209,4650,4650,0,4279,4279,4248,4619,425,424,462,0.13398514297125685,0.0005771076431343742,0.001120604910444909,0.0075183713438416698,0.80620155038759689
20230210,4650,4650,0,4279,4279,4252,4623,426,425,463,0.022937628864255995,0.010929896292337678,0.00076331575959699,-0.0016490729064560748,0.86363636363636365
20230213,4650,4650,0,4279,4279,4230,4601,423,423,461,0.04504863055969708,-0.00049793079200290765,-0.0015026051667056599,9.5638304401858749e-05,0.85925925925925928
20230214,4650,4650,0,4279,4279,4251,4622,426,425,463,0.0029606161095867937,0.0017037438441209476,-0.00026429783731330065,-0.0038472307850937219,0.86764705882352944
20230215,4650,4650,0,4280,4280,4239,4609,424,423,461,0.1760882097945817,-0.020136514152862699,0.0016843802374638672,0.0087096421865020882,0.86346863468634683
20230216,4650,4650,0,4280,4280,4261,4630,427,426,463,0.066343935888855038,-0.0053111993086613161,-0.001163622456693927,0.0018085134338149261,0.91676436107854631
20230217,4650,4650,0,4280,4280,4252,4622,426,425,463,0.13302055854589365,0.015208202399709748,0.0024099872664538422,0.011006862352592907,0.91948658109684944
20230220,4650,4650,0,4281,4281,4244,4612,425,424,462,0.10767948189641957,0.0063946660022131743,0.001753346693638724,0.0060193074100696109,0.90661938534278963
20230221,4650,4650,0,4281,4281,4265,4634,427,426,464,-0.0066660306167768473,-0.00086345957806433838,-0.0019298940720946154,-0.0018340070247771412,0.8949880668257757
20230222,4650,4650,0,4280,4280,4256,4625,426,425,463,0.16347118537304339,-0.00054357733389639464,0.0015564346094833978,0.0089128265371174083,0.86813186813186816
20230223,4650,4650,0,4279,4279,4257,4628,426,425,463,0.048259226361020882,-0.0029082567025709083,-0.00041447160007665896,0.0043296785448083729,0.8638036809815951
20230224,4650,4650,0,4278,4278,4261,4633,427,426,464,0.019817605055832584,-0.009134098871070832,-0.00081175009929750595,0.00066361990438287485,0.86117936117936122
20230227,4650,4650,0,4276,4276,4258,4631,426,425,464,0.11189246621930486,0.011120454899180511,0.0012529796058138431,0.0051065066694808651,0.84863523573200994
20230228,4650,4650,0,4279,4279,4246,4617,425,424,462,0.20320815328338118,0.016154535110805841,0.0076512882606224481,0.013048349113650052,0.88029020556227322
20230301,4650,4650,0,4279,4279,4240,4611,424,424,462,0.094946378675947657,-0.0016316798501966778,0.0016515094510973771,0.0007872552479375643,0.88270858524788387
20230302,4650,4650,0,4280,4280,4252,4622,426,425,463,0.067143896234580405,0.0017420373457848989,0.0018601266907717897,0.0061240957943019493,0.86083743842364535
20230303,4650,4650,0,4279,4279,4253,4624,426,425,463,-0.018881983277072401,-0.0018631213239476815,-0.0021244533821139144,-0.0008488827004299274,0.8665850673194615
20230306,4650,4650,0,4280,4280,4254,4624,426,425,463,0.079628344572565651,-0.019069738290410507,0.00069866471893609283,0.0018408100099360572,0.87073170731707317
20230307,4650,4650,0,4279,4279,4253,4623,426,425,463,0.064225730789709543,0.0086545184589059774,0.00022782245660475132,0.0018691216030088352,0.8665850673194615
20230308,4650,4650,0,4279,4279,4244,4615,425,424,462,0.17987454750691884,0.0048614545224623315,0.003866932918682636,0.0080916075443352581,0.86363636363636365
