trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection,top10_exclusive_union_fraction,top10_per_model_exclusive_fraction
20230103,0.62850495819452279,0.57913043478260873,0.73348017621145378,454,333,0.42086956521739127,0.26651982378854622
20230104,0.55448145465499055,0.15949367088607594,0.27510917030567683,458,126,0.84050632911392409,0.72489082969432317
20230105,0.61603276254210637,0.5181518151815182,0.68260869565217386,460,314,0.4818481848184818,0.31739130434782614
20230106,0.75992563462350049,0.67941712204007287,0.80911062906724507,461,373,0.32058287795992713,0.19088937093275493
20230109,0.68303121103972808,0.70370370370370372,0.82608695652173914,460,380,0.29629629629629628,0.17391304347826086
20230110,0.64403963264502095,0.66726943942133821,0.80043383947939262,461,369,0.33273056057866179,0.19956616052060738
20230111,0.70662212177168904,0.6470588235294118,0.7857142857142857,462,363,0.3529411764705882,0.2142857142857143
20230112,0.65587100421124844,0.64349376114082002,0.7830802603036876,461,361,0.35650623885917998,0.2169197396963124
20230113,0.55585287661185112,0.1108433734939759,0.19956616052060738,461,92,0.88915662650602412,0.80043383947939262
20230116,0.50317551220365409,0.10179640718562874,0.18478260869565216,460,85,0.89820359281437123,0.81521739130434789
20230117,0.55089598422825381,0.11757575757575757,0.210412147505423,461,97,0.88242424242424244,0.78958785249457697
20230118,0.55520138643983807,0.1095066185318893,0.19739696312364424,461,91,0.89049338146811075,0.8026030368763557
20230119,0.50413556048629227,0.077102803738317752,0.14316702819956617,461,66,0.92289719626168221,0.85683297180043383
20230120,0.57858433724716807,0.51973684210526316,0.68398268398268403,462,316,0.48026315789473684,0.31601731601731597
20230130,0.71989122582216036,0.56164383561643838,0.7192982456140351,456,328,0.43835616438356162,0.2807017543859649
20230131,0.66861913660330652,0.61971830985915488,0.76521739130434785,460,352,0.38028169014084512,0.23478260869565215
20230201,0.66239073227160927,0.55972696245733788,0.71772428884026263,457,328,0.44027303754266212,0.28227571115973737
20230202,0.68156836606539251,0.52066115702479343,0.68478260869565222,460,315,0.47933884297520657,0.31521739130434778
20230203,0.62577251438877213,0.49675324675324678,0.66377440347071581,461,306,0.50324675324675328,0.33622559652928419
20230206,0.62037247790872219,0.52649006622516559,0.68980477223427328,461,318,0.47350993377483441,0.31019522776572672
20230207,0.57830978775162345,0.18709677419354839,0.31521739130434784,460,145,0.81290322580645158,0.68478260869565211
20230208,0.60093352469551287,0.48709677419354841,0.65509761388286336,461,302,0.51290322580645165,0.34490238611713664
20230209,0.51198401607369948,0.10287081339712918,0.18655097613882862,461,86,0.89712918660287078,0.81344902386117135
20230210,0.59281958155485726,0.37910447761194027,0.54978354978354982,462,254,0.62089552238805967,0.45021645021645018
20230213,0.57011674952042046,0.10843373493975904,0.19565217391304349,460,90,0.89156626506024095,0.80434782608695654
20230214,0.6428066925960001,0.61538461538461542,0.76190476190476186,462,352,0.38461538461538458,0.23809523809523814
20230215,0.60451506307159875,0.34502923976608185,0.5130434782608696,460,236,0.65497076023391809,0.4869565217391304
20230216,0.57474103819147071,0.5180327868852459,0.68250539956803458,463,316,0.4819672131147541,0.31749460043196542
20230217,0.6628421502066848,0.59861591695501726,0.74891774891774887,462,346,0.40138408304498274,0.25108225108225113
20230220,0.59413277601487702,0.50653594771241828,0.67245119305856837,461,310,0.49346405228758172,0.32754880694143163
20230221,0.57806588979796747,0.44461778471138846,0.6155507559395248,463,285,0.55538221528861154,0.3844492440604752
20230222,0.61598824204279379,0.67391304347826086,0.80519480519480524,462,372,0.32608695652173914,0.19480519480519476
20230223,0.52942097177177883,0.2125984251968504,0.35064935064935066,462,162,0.78740157480314954,0.64935064935064934
20230224,0.51044506725196848,0.13064713064713065,0.23110151187904968,463,107,0.86935286935286937,0.7688984881209503
20230227,0.56487590958712286,0.33815028901734107,0.50539956803455721,463,234,0.66184971098265888,0.49460043196544279
20230228,0.53225797633110172,0.14392059553349876,0.25162689804772237,461,116,0.85607940446650121,0.74837310195227769
20230301,0.55770476329964014,0.23097463284379172,0.37527114967462039,461,173,0.76902536715620828,0.62472885032537961
20230302,0.5793283822589449,0.31811697574893011,0.48268398268398266,462,223,0.68188302425106984,0.5173160173160174
20230303,0.62102095142835823,0.59310344827586203,0.74458874458874458,462,344,0.40689655172413797,0.25541125541125542
20230306,0.58374352294168141,0.44827586206896552,0.61904761904761907,462,286,0.55172413793103448,0.38095238095238093
20230307,0.55765912973591958,0.27448275862068966,0.43073593073593075,462,199,0.72551724137931028,0.56926406926406925
20230308,0.52789754069637829,0.10287081339712918,0.18655097613882862,461,86,0.89712918660287078,0.81344902386117135
20230309,0.58435550717665297,0.28412256267409469,0.44251626898047725,461,204,0.71587743732590536,0.55748373101952275
20230310,0.60344934192515398,0.5714285714285714,0.72727272727272729,462,336,0.4285714285714286,0.27272727272727271
20230313,0.57075725053575599,0.14108910891089108,0.24728850325379609,461,114,0.8589108910891089,0.75271149674620386
20230314,0.60069519482534162,0.54333333333333333,0.70410367170626353,463,326,0.45666666666666667,0.29589632829373647
20230315,0.49746712302788926,0.1095066185318893,0.19739696312364424,461,91,0.89049338146811075,0.8026030368763557
20230316,0.51003417639465498,0.19023136246786632,0.31965442764578833,463,148,0.80976863753213368,0.68034557235421167
20230317,0.53218049391390942,0.10658682634730539,0.19264069264069264,462,89,0.89341317365269457,0.80735930735930739
20230320,0.64430744465267542,0.66486486486486485,0.79870129870129869,462,369,0.33513513513513515,0.20129870129870131
20230321,0.56934227167996077,0.28671328671328672,0.44565217391304346,460,205,0.71328671328671334,0.55434782608695654
20230322,0.5441564158355644,0.10658682634730539,0.19264069264069264,462,89,0.89341317365269457,0.80735930735930739
20230323,0.5481699883196911,0.18461538461538463,0.31168831168831168,462,144,0.81538461538461537,0.68831168831168832
20230324,0.5995703585644323,0.52475247524752477,0.68831168831168832,462,318,0.47524752475247523,0.31168831168831168
20230327,0.78542691960071842,0.53589315525876458,0.69782608695652171,460,321,0.46410684474123542,0.30217391304347829
20230328,0.74971039327508882,0.58762886597938147,0.74025974025974028,462,342,0.41237113402061853,0.25974025974025972
20230329,0.57150024956676515,0.38738738738738737,0.55844155844155841,462,258,0.61261261261261257,0.44155844155844159
20230330,0.59124603304427004,0.60207612456747406,0.75161987041036715,463,348,0.39792387543252594,0.24838012958963285
20230331,0.54059831198114328,0.10684273709483794,0.19305856832971802,461,89,0.89315726290516206,0.80694143167028198
20230403,0.53535245361033457,0.13022113022113022,0.23043478260869565,460,106,0.86977886977886976,0.76956521739130435
20230404,0.66227604703858312,0.48397435897435898,0.65226781857451399,463,302,0.51602564102564097,0.34773218142548601
