trade_date,eligible_rows,top_rows,missing_eligible,missing_top,largest_equal_prediction_group,cutoff_tie_group,cutoff_tie_selected,boundary_splits_tie
20220104,4534,453,476,398,469,469,397,True
20220105,4585,458,476,0,470,1,1,False
20220106,4554,455,474,450,470,470,450,True
20220107,4601,460,473,0,467,1,1,False
20220110,4567,456,472,430,468,468,430,True
20220111,4582,458,469,0,465,1,1,False
20220112,4548,454,471,448,465,465,448,True
20220113,4586,458,470,0,463,1,1,False
20220114,4573,457,471,0,464,1,1,False
20220117,4534,453,468,426,462,462,426,True
20220118,4590,459,466,0,460,1,1,False
20220119,4584,458,468,1,461,1,1,False
20220120,4601,460,465,0,462,1,1,False
20220121,4592,459,466,0,462,1,1,False
20220124,4586,458,464,0,460,1,1,False
20220125,4615,461,463,136,458,458,135,True
20220126,4589,458,462,361,457,457,360,True
20220127,4632,463,458,0,454,1,1,False
20220128,4583,458,456,309,450,450,308,True
20220207,4539,453,453,0,452,1,1,False
20220208,4556,455,454,352,452,452,350,True
20220209,4534,453,464,449,451,451,448,True
20220210,4583,458,463,0,456,1,1,False
20220211,4593,459,451,0,449,1,1,False
20220214,4556,455,451,0,447,1,1,False
20220215,4582,458,450,425,448,448,424,True
20220216,4571,457,450,447,448,448,447,True
20220217,4597,459,448,0,446,1,1,False
20220218,4590,459,448,447,445,1,1,False
20220221,4535,453,445,442,441,1,1,False
20220222,4590,459,443,0,440,1,1,False
20220223,4548,454,442,308,439,439,308,True
20220224,4607,460,441,0,439,1,1,False
20220225,4580,458,441,406,439,439,405,True
20220228,4599,459,443,83,439,439,82,True
20220301,4585,458,440,439,437,1,1,False
20220302,4583,458,440,440,438,1,1,False
20220303,4561,456,439,433,437,437,433,True
20220304,4592,459,439,0,437,1,1,False
20220307,4585,458,441,0,437,1,1,False
20220308,4623,462,441,223,436,436,223,True
20220309,4596,459,441,437,436,1,1,False
20220310,4553,455,439,207,436,436,207,True
20220311,4576,457,438,438,435,1,1,False
20220314,4602,460,432,0,430,1,1,False
20220315,4614,461,430,0,428,1,1,False
20220316,4512,451,430,0,428,1,1,False
20220317,4538,453,430,0,428,1,1,False
20220318,4522,452,429,335,426,426,335,True
20220321,4513,451,428,0,426,1,1,False
20220322,4552,455,424,246,423,423,246,True
20220323,4564,456,425,0,422,1,1,False
20220324,4573,457,427,1,422,1,1,False
20220325,4563,456,427,0,422,1,1,False
20220328,4578,457,422,0,420,1,1,False
20220329,4584,458,419,1,417,1,1,False
20220330,4560,456,421,328,417,417,328,True
20220331,4590,459,422,0,419,1,1,False
20220401,4564,456,423,0,419,1,1,False
20220406,4553,455,424,374,419,419,372,True
20220407,4605,460,424,0,418,1,1,False
20220408,4574,457,425,0,418,1,1,False
20220411,4588,458,422,0,417,1,1,False
20220412,4538,453,418,0,414,1,1,False
20220413,4590,459,416,0,412,1,1,False
20220414,4567,456,419,198,412,412,197,True
20220415,4605,460,424,2,413,1,1,False
20220418,4557,455,423,110,413,413,107,True
20220419,4579,457,423,147,413,413,146,True
20220420,4585,458,417,0,409,1,1,False
20220421,4611,461,413,0,406,1,1,False
20220422,4560,456,418,0,407,1,1,False
20220425,4616,461,414,0,406,1,1,False
20220426,4603,460,415,0,404,1,1,False
20220427,4507,450,424,85,405,405,76,True
20220428,4555,455,430,1,409,1,1,False
20220429,4395,439,451,5,406,1,1,False
20220505,4474,447,460,1,403,1,1,False
20220506,4541,454,433,0,403,1,1,False
20220509,4483,448,418,0,398,1,1,False
20220510,4524,452,415,34,398,398,29,True
20220511,4547,454,415,4,398,1,1,False
20220512,4561,456,413,409,394,1,1,False
20220513,4531,453,413,409,394,1,1,False
20220516,4538,453,413,404,395,1,1,False
20220517,4561,456,412,110,395,395,101,True
20220518,4531,453,416,410,393,1,1,False
20220519,4549,454,416,406,395,1,1,False
20220520,4539,453,409,346,393,393,342,True
20220523,4537,453,409,141,392,392,134,True
20220524,4600,460,410,0,390,1,1,False
20220525,4531,453,410,280,392,392,274,True
20220526,4572,457,410,406,391,1,1,False
20220527,4559,455,412,409,394,1,1,False
20220530,4546,454,406,405,392,1,1,False
20220531,4549,454,404,402,390,1,1,False
20220601,4565,456,406,403,390,1,1,False
20220602,4560,456,405,405,390,1,1,False
20220606,4557,455,399,397,386,1,1,False
20220607,4576,457,398,398,387,1,1,False
20220608,4566,456,398,396,385,1,1,False
20220609,4599,459,400,1,386,1,1,False
20220610,4543,454,399,396,387,1,1,False
20220613,4566,456,397,395,386,1,1,False
20220614,4577,457,398,396,386,1,1,False
20220615,4588,458,395,169,386,386,165,True
20220616,4578,457,395,393,386,1,1,False
20220617,4576,457,393,393,385,1,1,False
20220620,4542,454,392,391,385,1,1,False
20220621,4590,459,394,0,383,1,1,False
20220622,4566,456,393,0,380,1,1,False
20220623,4535,453,390,388,380,1,1,False
20220624,4533,453,387,387,377,1,1,False
20220627,4534,453,385,384,376,1,1,False
20220628,4511,451,386,381,376,1,1,False
20220629,4578,457,385,0,374,1,1,False
20220630,4558,455,383,382,372,1,1,False
20220701,4572,457,379,345,368,368,342,True
20220704,4552,455,377,377,370,1,1,False
20220705,4601,460,375,0,370,1,1,False
20220706,4591,459,371,0,367,1,1,False
20220707,4559,455,370,369,366,1,1,False
20220708,4576,457,372,370,366,1,1,False
20220711,4580,458,374,289,367,367,287,True
20220712,4588,458,371,1,363,1,1,False
20220713,4541,454,370,369,363,1,1,False
20220714,4571,457,367,367,362,1,1,False
