experiment,fold,variant,alpha,exit_fraction,ic_mean,annual_excess,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,top_rows
E005,F1,grid,1,0.10000000000000001,0.1002049785720658,0.51991094866647525,0.68028838068086706,0.2919687618245087,0.85250346798357934,0.48274147919848881,110641
E005,F2,grid,1,0.10000000000000001,0.075744455769197902,0.309871028451153,0.67482921520534855,0.22081032628142061,0.86815733213843505,0.44095526995979312,111424
E005,F1,grid,1,0.125,0.1002067572511194,0.51915009068838136,0.6204147968880066,0.30970329104056021,0.851924317152851,0.50589745211991943,110641
E005,F2,grid,1,0.125,0.075747073692860101,0.30897133885613243,0.61500442664365063,0.23848890314088861,0.86764622796873814,0.46372415278575502,111424
E005,F1,grid,1,0.14999999999999999,0.10021591779577781,0.52053341872998315,0.57313376951250172,0.3243062618835556,0.84847719119234355,0.51668007339051525,110641
E005,F2,grid,1,0.14999999999999999,0.075731339167186801,0.30637286226980093,0.56991355310674263,0.25123032841579213,0.85790439895380965,0.47524770246984482,111424
E005,F1,grid,0.90000000000000002,0.10000000000000001,0.099981429628382301,0.51728889022786384,0.63073686286732344,0.30595818005951492,0.80811569914779136,0.50020336041792823,110641
E005,F2,grid,0.90000000000000002,0.10000000000000001,0.075186092618296202,0.3074953501174445,0.61885998500167105,0.2366650465820504,0.82813650544814865,0.45954192992533022,111424
E005,F1,grid,0.90000000000000002,0.125,0.099983993917659303,0.51665305931904926,0.57939306280275116,0.3211715965219531,0.80787069890502505,0.5132184271653365,110641
E005,F2,grid,0.90000000000000002,0.125,0.0751883492539967,0.3072280747217655,0.56799778315413285,0.25184442717188832,0.82790212441476985,0.47418868466398623,111424
E005,F1,grid,0.90000000000000002,0.14999999999999999,0.099972874665028702,0.5149230627270136,0.53675581356731061,0.33343932461392217,0.80514461913219382,0.51854195099465805,110641
E005,F2,grid,0.90000000000000002,0.14999999999999999,0.075169731804607301,0.30482034216853582,0.53377234669363183,0.26138229136431412,0.81755805058163011,0.47920555715106261,111424
E005,F1,grid,0.80000000000000004,0.10000000000000001,0.098768029019813103,0.46975635287370082,0.57365328796527182,0.30833813108045383,0.76709566452636735,0.51754774450700913,110641
E005,F2,grid,0.80000000000000004,0.10000000000000001,0.074015613471328706,0.28199269664546273,0.56316588647373755,0.2452542884400489,0.78547451072533603,0.47934017805858692,111424
E005,F1,grid,0.80000000000000004,0.125,0.098779879412445801,0.46869334496891152,0.51913403168584971,0.32437974574989692,0.7665645759006473,0.52816767744326243,110641
E005,F2,grid,0.80000000000000004,0.125,0.0740196166739122,0.28190847943467973,0.51638563592194875,0.25926469972338412,0.78538392372924115,0.48870081849511771,111424
E005,F1,grid,0.80000000000000004,0.14999999999999999,0.09874828886143,0.4661110139112557,0.4886186523719816,0.3327470240063542,0.76328360525212435,0.52485968131162952,110641
E005,F2,grid,0.80000000000000004,0.14999999999999999,0.074010139661140201,0.27733670371556213,0.47959012023937242,0.26892803090731282,0.77497859134629754,0.49333177771395742,111424
E005,F1,grid,0.69999999999999996,0.10000000000000001,0.096840236656582701,0.4481361522394206,0.52934570103095402,0.31437323002517292,0.72518508876073196,0.52418181325186863,110641
E005,F2,grid,0.69999999999999996,0.10000000000000001,0.072352766610744204,0.2634081225412151,0.52041447493555726,0.25183920092599482,0.74425380749113235,0.4913573377369328,111424
E005,F1,grid,0.69999999999999996,0.125,0.096832642538188005,0.44827880291450062,0.4817168964246149,0.32870162896224092,0.72454023794156164,0.52995724912103104,110641
E005,F2,grid,0.69999999999999996,0.125,0.0723577931994661,0.26366889638284102,0.46895980684725402,0.26735584414046232,0.74400820037511906,0.49811530729465803,111424
E005,F1,grid,0.69999999999999996,0.14999999999999999,0.096801204644050301,0.44609139069313791,0.45153395294204501,0.337087713182948,0.72102078423916816,0.52751692410589202,110641
E005,F2,grid,0.69999999999999996,0.14999999999999999,0.072350816644856999,0.26518003484776131,0.43161929016467993,0.27900855006286712,0.73137822050364543,0.50071797817346353,111424
E005,F1,grid,0.59999999999999998,0.10000000000000001,0.0941025168989542,0.43477042483458922,0.48617983658146402,0.32221818323551921,0.68283771029536855,0.53547961424788282,110641
E005,F2,grid,0.59999999999999998,0.10000000000000001,0.070211094581994704,0.25370841317685622,0.4744146913027556,0.2618725543950281,0.70131430687957586,0.50314115450890295,111424
E005,F1,grid,0.59999999999999998,0.125,0.094092566648804304,0.43427567493080371,0.44034359592786032,0.3358166503604047,0.68234143248151724,0.53894126047306135,110641
E005,F2,grid,0.59999999999999998,0.125,0.070201544502625002,0.25417380255945132,0.4207243069518341,0.27811546648333513,0.70088364501699585,0.5084900919012062,111424
E005,F1,grid,0.59999999999999998,0.14999999999999999,0.0940778536468104,0.4331451171603018,0.40727678826348312,0.34539164012776952,0.67807647090206513,0.53702515342413715,110641
E005,F2,grid,0.59999999999999998,0.14999999999999999,0.070200746487481702,0.25623148539214341,0.3835274724954793,0.28989150246399192,0.68747513860961285,0.51106583859850663,111424
E005,F1,grid,0.5,0.10000000000000001,0.090384324201329899,0.406952484906135,0.44088190316900411,0.3259749042016713,0.63629338049696882,0.55085366184325846,110641
E005,F2,grid,0.5,0.10000000000000001,0.0674653904818798,0.24130746749408541,0.42479943755643051,0.27193856517404841,0.65336845575932645,0.51479035037334864,111424
E005,F1,grid,0.5,0.125,0.090379887470912301,0.40606526819619893,0.39258021424368422,0.34019747117411941,0.63571183450113655,0.55503836733218215,110641
E005,F2,grid,0.5,0.125,0.067458941090438707,0.24171798871526701,0.37285264226383391,0.28764318037160541,0.6531874085811763,0.51801227742676625,111424
E005,F1,grid,0.5,0.14999999999999999,0.090364249860280202,0.40486362998307263,0.36172192956161642,0.34908821007054891,0.63066127957140083,0.55105250314078835,110641
E005,F2,grid,0.5,0.14999999999999999,0.067458585460652004,0.24113010950658431,0.34132811002775842,0.29692403402790862,0.63836807441579535,0.5166301694428489,111424
E006,F1,grid,1,0.10000000000000001,0.1235854968772432,0.53225662911575733,0.82970035756499982,0.26020108021612443,0.83913646895326233,0.0003073001870915,110641
E006,F2,grid,1,0.10000000000000001,0.10496763107033,0.36057923280346882,0.85933090166316572,0.1923615517702229,0.86490230641059485,0.0001974439977024,111424
