experiment,target,fold,ic_mean,ic_std,icir,ic_positive_ratio,annual_excess,top1_annual_ret,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,missing_top_rows,top_rows
E003,raw,F1,0.096034651688126346,0.10565362087132479,0.90895750563141264,0.80578512396694213,0.51195284807872798,0.38082463101395814,0.64714608854069933,0.29785588853665912,0.87185064364324305,0.54593685884979348,60403,110641
E004,rank,F1,0.12369300679840138,0.11871017047145571,1.041974805588741,0.86776859504132231,0.52453705406420903,0.39340883699943913,0.82064050864796434,0.26064616634423393,0.82939032463194762,0.0010122829692428665,112,110641
E005,relative,F1,0.10096580864497637,0.10588133118214817,0.95357517248517021,0.83884297520661155,0.51991094866647525,0.38878273160170546,0.68401691989980229,0.29115453208799241,0.85250346798357934,0.48274147919848881,53411,110641
E003,raw,F2,0.068168228094004524,0.10331315428574259,0.65982138059075668,0.78099173553719003,0.25048818325878686,0.26991142057890422,0.84148613788637305,0.14996790484932596,0.89318902674473455,0.24718193566915567,27542,111424
E004,rank,F2,0.10707188740105335,0.10676083224710593,1.0029135699619449,0.85537190082644632,0.33842080607686337,0.35784404339698073,0.85583497971658395,0.18760450286850516,0.85306362263848934,0.063146180356117174,7036,111424
E005,relative,F2,0.076210303172205771,0.10197830927296006,0.74731875548375293,0.77685950413223137,0.30987102845115305,0.32929426577127036,0.67663761080822238,0.22045414656176149,0.86815733213843505,0.44095526995979323,49133,111424
E003,raw,F3,0.11198095127148332,0.17321612912553544,0.64648108600976195,0.78925619834710747,0.64290133853966702,0.62885668753937007,0.87366154431669463,0.27556431877548504,0.8758724177685091,0.032284370667705661,3563,110363
E004,rank,F3,0.12368355112135608,0.17063898358135882,0.72482587815219324,0.7975206611570248,0.46701873063087862,0.45297407963058167,0.82422451933674046,0.24231168383678389,0.82157266241002502,0.074381812745213521,8209,110363
E005,relative,F3,0.11287566750275899,0.16516953554577876,0.68339277657818509,0.78925619834710747,0.61924264019162267,0.60519798919132595,0.85720761591659056,0.27376077428361323,0.86127429030213254,0.030354376013700245,3350,110363
