experiment,fold,ic_mean,ic_std,icir,ic_positive_ratio,annual_excess,top1_annual_ret,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,missing_top_rows,top_rows,missing_top_duplicate_fraction,longest_missing_top_run
E002,F1,0.07566559811985576,0.07911406555332054,0.9564114496032238,0.8264462809917356,0.452410055856293,0.3212818387915233,0.23089957217573576,0.39671938435210946,0.8474014587025546,0.8560569770699831,94715,110641,0.999873304122895,169.0
E003,F1,0.09603465168812635,0.1056536208713248,0.9089575056314126,0.8057851239669421,0.511952848078728,0.38082463101395814,0.6471460885406993,0.2978558885366591,0.871850643643243,0.5459368588497935,60403,110641,0.9900667185404698,19.0
E002,F2,0.03773338805504292,0.07976028280763658,0.47308493308689936,0.6983471074380165,0.18541387148664007,0.2048371088067574,0.4846951058471849,0.2253089849138537,0.8427303153846598,0.5616204767375071,62578,111424,0.9996004985777749,242.0
E003,F2,0.06816822809400452,0.10331315428574259,0.6598213805907567,0.78099173553719,0.25048818325878686,0.2699114205789042,0.841486137886373,0.14996790484932596,0.8931890267447345,0.24718193566915567,27542,111424,0.9751652022365841,7.0
E002,F3,0.08622509315984932,0.13259199554869724,0.6503039101495482,0.7520661157024794,0.44510663879195245,0.43106198779165544,0.721214803379976,0.2516575878875327,0.8534403375404892,0.2775839728894648,30635,110363,0.9986290190958055,215.0
E003,F3,0.11198095127148332,0.17321612912553544,0.646481086009762,0.7892561983471075,0.642901338539667,0.6288566875393701,0.8736615443166946,0.27556431877548504,0.8758724177685091,0.03228437066770566,3563,110363,0.9435868650014033,6.0
