trade_date,eligible_rows,top_rows,missing_eligible,missing_top,largest_equal_prediction_group,cutoff_tie_group,cutoff_tie_selected,boundary_splits_tie
20240102,4589,458,127,127,127,1,1,False
20240103,4604,460,127,127,127,1,1,False
20240104,4608,460,127,127,127,1,1,False
20240105,4625,462,126,126,126,1,1,False
20240108,4615,461,127,127,126,1,1,False
20240109,4602,460,127,127,127,1,1,False
20240110,4609,460,126,125,125,1,1,False
20240111,4596,459,126,124,124,1,1,False
20240112,4624,462,127,127,127,1,1,False
20240115,4606,460,126,126,126,1,1,False
20240116,4615,461,124,124,124,1,1,False
20240117,4612,461,124,124,124,1,1,False
20240118,4613,461,123,122,122,1,1,False
20240119,4606,460,123,122,122,1,1,False
20240122,4627,462,122,122,122,1,1,False
20240123,4600,460,122,122,122,1,1,False
20240124,4570,457,121,121,121,1,1,False
20240125,4544,454,121,120,120,1,1,False
20240126,4585,458,120,120,120,1,1,False
20240129,4622,462,120,119,119,1,1,False
20240130,4627,462,119,119,119,1,1,False
20240131,4623,462,118,118,118,1,1,False
20240201,4620,462,119,118,118,1,1,False
20240202,4625,462,118,0,118,1,1,False
20240205,4633,463,119,118,118,1,1,False
20240206,4500,450,117,117,117,1,1,False
20240207,4544,454,117,0,117,1,1,False
20240208,4142,414,116,116,116,1,1,False
20240219,4382,438,116,116,116,1,1,False
20240220,4497,449,116,116,116,1,1,False
20240221,4495,449,116,116,116,1,1,False
20240222,4554,455,117,116,116,1,1,False
20240223,4504,450,118,118,117,1,1,False
20240226,4530,453,118,118,118,1,1,False
20240227,4538,453,118,117,117,1,1,False
20240228,4617,461,118,118,118,1,1,False
20240229,4539,453,118,118,118,1,1,False
20240301,4570,457,118,118,118,1,1,False
20240304,4563,456,118,118,118,1,1,False
20240305,4592,459,120,118,118,1,1,False
20240306,4547,454,119,119,119,1,1,False
20240307,4580,458,120,119,119,1,1,False
20240308,4573,457,120,119,119,1,1,False
20240311,4551,455,120,120,120,1,1,False
20240312,4572,457,119,119,119,1,1,False
20240313,4588,458,119,119,119,1,1,False
20240314,4599,459,120,119,119,1,1,False
20240315,4566,456,121,120,120,1,1,False
20240318,4559,455,121,121,121,1,1,False
20240319,4583,458,120,119,119,1,1,False
20240320,4563,456,120,120,120,1,1,False
20240321,4571,457,120,120,120,1,1,False
20240322,4584,458,120,120,120,1,1,False
20240325,4604,460,121,120,120,1,1,False
20240326,4586,458,119,119,119,1,1,False
20240327,4605,460,119,118,118,1,1,False
20240328,4570,457,114,112,112,1,1,False
20240329,4574,457,113,113,113,1,1,False
20240401,4557,455,111,111,111,1,1,False
20240402,4584,458,112,111,111,1,1,False
20240403,4591,459,111,111,111,1,1,False
20240408,4587,458,110,110,110,1,1,False
20240409,4587,458,108,108,108,1,1,False
20240410,4617,461,108,108,108,1,1,False
20240411,4597,459,108,108,108,1,1,False
20240412,4582,458,109,108,108,1,1,False
20240415,4624,462,109,109,109,1,1,False
20240416,4630,463,109,108,108,1,1,False
20240417,4409,440,110,109,109,1,1,False
20240418,4580,458,111,111,110,1,1,False
20240419,4587,458,113,111,111,1,1,False
20240422,4588,458,114,112,112,1,1,False
20240423,4584,458,114,114,113,1,1,False
20240424,4579,457,115,112,112,1,1,False
20240425,4585,458,126,121,115,1,1,False
20240426,4572,457,141,130,123,1,1,False
20240429,4514,451,183,135,132,1,1,False
20240430,4575,457,174,167,167,1,1,False
20240506,4546,454,126,126,126,1,1,False
20240507,4585,458,129,127,127,1,1,False
20240508,4590,459,131,130,129,1,1,False
20240509,4587,458,129,129,129,1,1,False
20240510,4607,460,132,130,129,1,1,False
20240513,4611,461,133,132,132,1,1,False
20240514,4567,456,129,128,128,1,1,False
20240515,4583,458,129,127,127,1,1,False
20240516,4587,458,128,128,128,1,1,False
20240517,4556,455,132,130,128,1,1,False
20240520,4589,458,132,132,132,1,1,False
20240521,4617,461,129,129,129,1,1,False
20240522,4596,459,128,128,128,1,1,False
20240523,4614,461,128,128,128,1,1,False
20240524,4594,459,130,129,128,1,1,False
20240527,4605,460,131,130,130,1,1,False
20240528,4616,461,132,130,130,1,1,False
